"",BBK01.OEAH20M,BBK01.OEAH20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:44,
2002-01,0.398,
2002-04,0.409,
2002-07,0.451,
2002-10,0.473,
2003-01,0.449,
2003-04,0.396,
2003-07,0.343,
2003-10,0.312,
2004-01,0.308,
2004-04,0.323,
2004-07,0.303,
2004-10,0.288,
2005-01,0.346,
2005-04,0.342,
2005-07,0.351,
2005-10,0.376,
2006-01,0.388,
2006-04,0.419,
2006-07,0.474,
2006-10,0.507,
2007-01,0.510,
2007-04,0.535,
2007-07,0.611,
2007-10,1.040,
2008-01,1.699,
2008-04,2.278,
2008-07,3.180,
2008-10,4.033,
2009-01,4.228,
2009-04,4.425,
2009-07,3.838,
2009-10,3.364,
2010-01,2.592,
2010-04,1.461,
2010-07,1.252,
2010-10,1.125,
2011-01,1.082,
2011-04,1.204,
2011-07,1.506,
2011-10,1.886,
2012-01,2.130,
2012-04,2.169,
2012-07,1.930,
2012-10,1.785,
2013-01,1.578,
2013-04,1.496,
2013-07,1.421,
2013-10,1.304,
2014-01,1.135,
2014-04,1.052,
2014-07,1.037,
