"",BBK01.OEAD20G,BBK01.OEAD20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:33,
2002-01,0.736,
2002-04,0.656,
2002-07,0.659,
2002-10,0.692,
2003-01,0.629,
2003-04,0.596,
2003-07,0.577,
2003-10,0.591,
2004-01,0.581,
2004-04,0.589,
2004-07,0.630,
2004-10,0.586,
2005-01,0.698,
2005-04,0.613,
2005-07,0.546,
2005-10,0.494,
2006-01,0.529,
2006-04,0.537,
2006-07,0.520,
2006-10,0.597,
2007-01,0.522,
2007-04,0.513,
2007-07,0.566,
2007-10,0.657,
2008-01,0.705,
2008-04,0.716,
2008-07,0.630,
2008-10,0.758,
2009-01,0.798,
2009-04,0.663,
2009-07,0.664,
2009-10,0.607,
2010-01,0.604,
2010-04,0.553,
2010-07,0.547,
2010-10,0.576,
2011-01,0.604,
2011-04,0.520,
2011-07,0.509,
2011-10,0.569,
2012-01,0.580,
2012-04,0.564,
2012-07,0.573,
2012-10,0.610,
2013-01,0.573,
2013-04,0.553,
2013-07,0.529,
2013-10,0.514,
2014-01,0.569,
2014-04,0.511,
2014-07,0.529,
