"",BBNZ1.Q.DE.N.G.1960.A,BBNZ1.Q.DE.N.G.1960.A_FLAGS
"",Germany / National accounts / Gross wages and salaries per employee /  Production sector (including construction),
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:07,
1991-01,53.4,
1991-04,59.8,
1991-07,60.0,
1991-10,69.2,
1992-01,61.0,
1992-04,67.2,
1992-07,67.9,
1992-10,76.8,
1993-01,64.1,
1993-04,70.2,
1993-07,70.2,
1993-10,79.5,
1994-01,67.7,
1994-04,72.7,
1994-07,71.9,
1994-10,82.0,
1995-01,70.1,
1995-04,75.9,
1995-07,74.2,
1995-10,84.2,
1996-01,72.2,
1996-04,77.6,
1996-07,76.1,
1996-10,85.2,
1997-01,73.5,
1997-04,78.7,
1997-07,76.4,
1997-10,85.7,
1998-01,74.4,
1998-04,80.3,
1998-07,77.6,
1998-10,87.1,
1999-01,75.9,
1999-04,82.5,
1999-07,79.3,
1999-10,88.3,
2000-01,78.1,
2000-04,84.5,
2000-07,81.0,
2000-10,90.1,
2001-01,80.6,
2001-04,86.8,
2001-07,82.7,
2001-10,91.8,
2002-01,81.3,
2002-04,88.1,
2002-07,85.1,
2002-10,93.8,
2003-01,83.4,
2003-04,90.6,
2003-07,86.8,
2003-10,95.6,
2004-01,86.5,
2004-04,92.4,
2004-07,87.9,
2004-10,96.9,
2005-01,87.0,
2005-04,93.7,
2005-07,89.3,
2005-10,98.5,
2006-01,88.6,
2006-04,96.1,
2006-07,91.5,
2006-10,100.0,
2007-01,90.4,
2007-04,99.0,
2007-07,93.0,
2007-10,102.9,
2008-01,93.0,
2008-04,101.0,
2008-07,94.8,
2008-10,104.3,
2009-01,91.3,
2009-04,97.8,
2009-07,93.0,
2009-10,102.7,
2010-01,93.4,
2010-04,102.9,
2010-07,96.6,
2010-10,107.2,
2011-01,98.4,
2011-04,108.2,
2011-07,99.7,
2011-10,109.9,
2012-01,99.9,
2012-04,111.6,
2012-07,102.3,
2012-10,112.8,
2013-01,101.7,
2013-04,113.9,
2013-07,105.2,
2013-10,115.8,
2014-01,105.2,
2014-04,117.1,
2014-07,107.6,
2014-10,118.6,
