"",BBK01.OEAF03N,BBK01.OEAF03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:39,
2002-01,117.842,
2002-04,118.638,
2002-07,119.936,
2002-10,122.777,
2003-01,123.959,
2003-04,122.045,
2003-07,124.239,
2003-10,125.394,
2004-01,126.333,
2004-04,127.978,
2004-07,129.482,
2004-10,130.827,
2005-01,135.792,
2005-04,136.051,
2005-07,136.954,
2005-10,138.576,
2006-01,145.022,
2006-04,145.712,
2006-07,147.374,
2006-10,148.273,
2007-01,148.124,
2007-04,149.008,
2007-07,150.060,
2007-10,149.957,
2008-01,149.815,
2008-04,151.059,
2008-07,147.847,
2008-10,147.559,
2009-01,146.957,
2009-04,147.334,
2009-07,148.866,
2009-10,145.258,
2010-01,149.614,
2010-04,150.345,
2010-07,152.298,
2010-10,153.033,
2011-01,153.245,
2011-04,154.024,
2011-07,155.187,
2011-10,155.937,
2012-01,156.040,
2012-04,152.139,
2012-07,153.692,
2012-10,156.348,
2013-01,156.832,
2013-04,157.939,
2013-07,159.427,
2013-10,160.081,
2014-01,159.926,
2014-04,160.974,
2014-07,162.364,
