"",BBK01.OEAD31Q,BBK01.OEAD31Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:25,
2002-01,2.780,
2002-04,2.747,
2002-07,2.693,
2002-10,2.725,
2003-01,2.662,
2003-04,2.847,
2003-07,2.847,
2003-10,2.817,
2004-01,2.757,
2004-04,2.465,
2004-07,2.400,
2004-10,2.468,
2005-01,2.413,
2005-04,2.398,
2005-07,2.355,
2005-10,2.393,
2006-01,2.388,
2006-04,2.404,
2006-07,2.450,
2006-10,2.481,
2007-01,3.088,
2007-04,3.032,
2007-07,3.029,
2007-10,2.843,
2008-01,1.928,
2008-04,1.918,
2008-07,1.918,
2008-10,1.929,
2009-01,1.857,
2009-04,1.907,
2009-07,1.953,
2009-10,1.928,
2010-01,1.911,
2010-04,1.882,
2010-07,1.547,
2010-10,1.482,
2011-01,1.449,
2011-04,1.462,
2011-07,1.392,
2011-10,1.415,
2012-01,1.409,
2012-04,1.579,
2012-07,1.584,
2012-10,1.701,
2013-01,1.642,
2013-04,1.523,
2013-07,1.524,
2013-10,1.648,
2014-01,1.625,
2014-04,1.550,
2014-07,1.510,
