"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:46,
1991-01,13.346,
1991-04,13.433,
1991-07,9.756,
1991-10,12.494,
1992-01,39.975,
1992-04,21.939,
1992-07,54.850,
1992-10,46.282,
1993-01,34.721,
1993-04,28.186,
1993-07,26.131,
1993-10,38.948,
1994-01,4.330,
1994-04,36.735,
1994-07,20.066,
1994-10,87.153,
1995-01,35.272,
1995-04,61.447,
1995-07,107.648,
1995-10,5.576,
1996-01,58.491,
1996-04,84.630,
1996-07,24.985,
1996-10,30.224,
1997-01,80.781,
1997-04,123.702,
1997-07,134.484,
1997-10,62.258,
1998-01,209.043,
1998-04,82.062,
1998-07,49.040,
1998-10,58.712,
1999-01,84.833,
1999-04,40.937,
1999-07,224.604,
1999-10,-128.225,
2000-01,155.214,
2000-04,283.263,
2000-07,325.367,
2000-10,155.492,
2001-01,73.872,
2001-04,0.915,
2001-07,0.731,
2001-10,-69.063,
2002-01,-0.799,
2002-04,2.498,
2002-07,96.159,
2002-10,-167.246,
2003-01,112.620,
2003-04,57.262,
2003-07,52.283,
2003-10,64.997,
2004-01,263.160,
2004-04,27.927,
2004-07,165.534,
2004-10,-4.042,
2005-01,-41.934,
2005-04,178.331,
2005-07,317.710,
2005-10,-206.832,
2006-01,157.301,
2006-04,-75.727,
2006-07,316.556,
2006-10,171.521,
2007-01,216.360,
2007-04,435.897,
2007-07,200.670,
2007-10,-63.467,
2008-01,230.386,
2008-04,275.911,
2008-07,439.148,
2008-10,574.957,
2009-01,112.389,
2009-04,210.896,
2009-07,380.163,
2009-10,62.896,
2010-01,105.316,
2010-04,-186.901,
2010-07,330.463,
2010-10,294.690,
2011-01,252.634,
2011-04,290.465,
2011-07,282.456,
2011-10,221.032,
2012-01,245.322,
2012-04,265.803,
2012-07,50.319,
2012-10,458.085,
2013-01,131.389,
2013-04,142.349,
2013-07,251.616,
2013-10,281.387,
2014-01,321.375,Provisional value
2014-04,151.136,Provisional value
2014-07,87.451,Provisional value
2014-10,-52.032,Provisional value
