"",BBK01.OEBM08L,BBK01.OEBM08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:05,
2002-01,0.003,
2002-04,0.003,
2002-07,0.002,
2002-10,0.002,
2003-01,0.004,
2003-04,0.004,
2003-07,0.007,
2003-10,0.008,
2004-01,0.004,
2004-04,0.004,
2004-07,0.004,
2004-10,0.004,
2005-01,0.014,
2005-04,0.011,
2005-07,0.005,
2005-10,0.003,
2006-01,0.005,
2006-04,0.004,
2006-07,0.004,
2006-10,0.005,
2007-01,0.005,
2007-04,0.005,
2007-07,0.006,
2007-10,0.004,
2008-01,0.010,
2008-04,0.009,
2008-07,0.009,
2008-10,0.010,
2009-01,0.070,
2009-04,0.096,
2009-07,0.069,
2009-10,0.115,
2010-01,0.017,
2010-04,0.022,
2010-07,0.018,
2010-10,0.024,
2011-01,0.039,
2011-04,0.026,
2011-07,0.018,
2011-10,0.002,
2012-01,0.002,
2012-04,0.003,
2012-07,0.006,
2012-10,0.009,
2013-01,0.013,
2013-04,0.013,
2013-07,0.015,
2013-10,0.013,
2014-01,0.013,
2014-04,0.010,
2014-07,0.008,
