"",BBK01.OEBO03H,BBK01.OEBO03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:47,
2002-01,1.920,
2002-04,2.398,
2002-07,1.173,
2002-10,1.124,
2003-01,1.496,
2003-04,1.310,
2003-07,1.361,
2003-10,1.560,
2004-01,1.740,
2004-04,1.433,
2004-07,1.499,
2004-10,1.498,
2005-01,4.634,
2005-04,3.733,
2005-07,2.142,
2005-10,2.700,
2006-01,2.678,
2006-04,2.520,
2006-07,2.626,
2006-10,2.951,
2007-01,3.245,
2007-04,2.657,
2007-07,2.539,
2007-10,2.701,
2008-01,2.864,
2008-04,2.551,
2008-07,2.534,
2008-10,3.066,
2009-01,2.824,
2009-04,2.800,
2009-07,2.683,
2009-10,2.823,
2010-01,4.596,
2010-04,3.292,
2010-07,2.741,
2010-10,3.042,
2011-01,3.586,
2011-04,3.788,
2011-07,3.723,
2011-10,3.361,
2012-01,3.898,
2012-04,3.346,
2012-07,3.196,
2012-10,3.272,
2013-01,3.997,
2013-04,3.307,
2013-07,3.020,
2013-10,2.700,
2014-01,2.666,
2014-04,2.221,
2014-07,2.274,
