"",BBK01.OEBK01M,BBK01.OEBK01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:51,
2002-01,1.966,
2002-04,2.040,
2002-07,1.991,
2002-10,2.040,
2003-01,1.937,
2003-04,2.114,
2003-07,2.014,
2003-10,1.932,
2004-01,2.039,
2004-04,2.006,
2004-07,2.018,
2004-10,2.065,
2005-01,2.241,
2005-04,2.331,
2005-07,2.348,
2005-10,2.413,
2006-01,2.504,
2006-04,2.521,
2006-07,2.532,
2006-10,2.644,
2007-01,2.645,
2007-04,2.724,
2007-07,2.803,
2007-10,2.967,
2008-01,3.035,
2008-04,3.070,
2008-07,3.103,
2008-10,3.364,
2009-01,3.619,
2009-04,3.756,
2009-07,3.636,
2009-10,3.530,
2010-01,3.544,
2010-04,3.538,
2010-07,3.563,
2010-10,3.688,
2011-01,3.672,
2011-04,3.746,
2011-07,3.981,
2011-10,4.094,
2012-01,4.119,
2012-04,4.048,
2012-07,4.207,
2012-10,4.121,
2013-01,4.127,
2013-04,4.103,
2013-07,4.191,
2013-10,4.199,
2014-01,4.103,
2014-04,3.990,
2014-07,4.218,
