"",BBK01.OEAE30I,BBK01.OEAE30I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:29,
2002-01,1.543,
2002-04,1.196,
2002-07,0.967,
2002-10,0.958,
2003-01,0.923,
2003-04,0.828,
2003-07,0.864,
2003-10,0.801,
2004-01,0.771,
2004-04,0.776,
2004-07,1.028,
2004-10,0.749,
2005-01,0.756,
2005-04,0.737,
2005-07,0.713,
2005-10,0.626,
2006-01,0.635,
2006-04,0.609,
2006-07,0.711,
2006-10,0.724,
2007-01,0.659,
2007-04,0.635,
2007-07,0.661,
2007-10,0.643,
2008-01,0.685,
2008-04,0.579,
2008-07,0.601,
2008-10,0.594,
2009-01,0.574,
2009-04,0.493,
2009-07,0.521,
2009-10,0.398,
2010-01,0.405,
2010-04,0.375,
2010-07,0.369,
2010-10,0.360,
2011-01,0.359,
2011-04,0.371,
2011-07,0.374,
2011-10,0.385,
2012-01,0.438,
2012-04,0.438,
2012-07,0.470,
2012-10,0.474,
2013-01,0.445,
2013-04,1.084,
2013-07,1.119,
2013-10,1.772,
2014-01,1.695,
2014-04,1.711,
2014-07,1.724,
