"",BBK01.OEAB17L,BBK01.OEAB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:11,
2002-01,84.425,
2002-04,86.427,
2002-07,88.374,
2002-10,88.122,
2003-01,89.484,
2003-04,93.757,
2003-07,98.340,
2003-10,101.532,
2004-01,101.660,
2004-04,104.233,
2004-07,105.200,
2004-10,106.039,
2005-01,107.083,
2005-04,108.646,
2005-07,111.165,
2005-10,112.700,
2006-01,113.439,
2006-04,111.332,
2006-07,116.165,
2006-10,116.927,
2007-01,113.959,
2007-04,116.863,
2007-07,123.379,
2007-10,127.752,
2008-01,127.811,
2008-04,126.868,
2008-07,131.707,
2008-10,130.578,
2009-01,131.069,
2009-04,133.258,
2009-07,134.664,
2009-10,136.343,
2010-01,135.766,
2010-04,136.334,
2010-07,137.210,
2010-10,138.253,
2011-01,137.088,
2011-04,138.053,
2011-07,139.455,
2011-10,140.437,
2012-01,139.935,
2012-04,141.090,
2012-07,143.127,
2012-10,143.540,
2013-01,143.361,
2013-04,143.834,
2013-07,144.891,
2013-10,145.517,
2014-01,145.556,
2014-04,146.553,
2014-07,147.673,
