"",BBK01.OEAC20K,BBK01.OEAC20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:47,
2002-01,4.058,
2002-04,3.810,
2002-07,4.307,
2002-10,3.811,
2003-01,3.570,
2003-04,3.642,
2003-07,3.497,
2003-10,3.233,
2004-01,3.227,
2004-04,3.407,
2004-07,3.455,
2004-10,2.904,
2005-01,3.131,
2005-04,3.063,
2005-07,3.314,
2005-10,3.148,
2006-01,3.024,
2006-04,3.278,
2006-07,3.226,
2006-10,3.025,
2007-01,3.055,
2007-04,3.116,
2007-07,3.292,
2007-10,3.321,
2008-01,3.608,
2008-04,3.588,
2008-07,3.353,
2008-10,3.095,
2009-01,2.753,
2009-04,2.861,
2009-07,2.620,
2009-10,2.328,
2010-01,2.227,
2010-04,2.506,
2010-07,2.700,
2010-10,2.811,
2011-01,2.821,
2011-04,2.831,
2011-07,3.488,
2011-10,2.808,
2012-01,2.898,
2012-04,3.014,
2012-07,3.619,
2012-10,3.184,
2013-01,3.030,
2013-04,2.880,
2013-07,3.244,
2013-10,2.967,
2014-01,3.046,
2014-04,3.084,
2014-07,3.442,
