"",BBK01.OXA8S4,BBK01.OXA8S4_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic non-banks (non-MFIs) during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:47,
2009-12,-,Nothing exists
2010-01,1.135,
2010-02,-,Nothing exists
2010-03,-0.018,
2010-04,-,Nothing exists
2010-05,-0.306,
2010-06,0.089,
2010-07,1.274,
2010-08,-0.649,
2010-09,-0.042,
2010-10,2.293,
2010-11,0.463,
2010-12,-0.841,
2011-01,-0.789,
2011-02,0.665,
2011-03,-0.576,
2011-04,0.059,
2011-05,-0.251,
2011-06,0.370,
2011-07,1.313,
2011-08,-0.412,
2011-09,-1.692,
2011-10,-0.785,
2011-11,-1.036,
2011-12,-0.902,
2012-01,-0.645,
2012-02,-0.106,
2012-03,-0.222,
2012-04,-0.399,
2012-05,-0.794,
2012-06,-0.004,
2012-07,-0.169,
2012-08,-0.137,
2012-09,-0.104,
2012-10,1.372,
2012-11,-0.867,
2012-12,-1.166,
2013-01,-1.405,
2013-02,-0.131,
2013-03,-0.550,
2013-04,-0.953,
2013-05,-1.215,
2013-06,-0.615,
2013-07,-0.715,
2013-08,-1.513,
2013-09,-1.329,
2013-10,-1.696,
2013-11,-1.203,
2013-12,-1.190,
2014-01,-1.077,
2014-02,-0.412,
2014-03,-0.704,
2014-04,-0.900,
2014-05,0.728,
2014-06,-0.927,
2014-07,-1.039,
2014-08,-1.110,
2014-09,-1.750,
2014-10,-0.745,
2014-11,0.710,
2014-12,-0.385,Provisional value
