"",BBEX3.M.TMM.EUR.CA.AC.A01,BBEX3.M.TMM.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Turkmenistan / EUR 1 = TMM ... (middle),
unit,TMM (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:22,
1999-01,6021.60,
1999-02,5889.52,
1999-03,5681.00,
1999-04,5504.20,
1999-05,5505.76,
1999-06,5343.52,
1999-07,5464.16,
1999-08,5431.40,
1999-09,5467.28,
1999-10,5604.56,
1999-11,5327.92,
1999-12,5245.24,
2000-01,5217.16,
2000-02,5223.40,
2000-03,4993.04,
2000-04,4922.84,
2000-05,4733.04,
2000-06,4931.16,
2000-07,4888.52,
2000-08,4683.12,
2000-09,4550.52,
2000-10,4415.84,
2000-11,4424.68,
2000-12,4881.24,
2001-01,4763.20,
2001-02,4828.72,
2001-03,4655.56,
2001-04,4663.36,
2001-05,4551.56,
2001-06,4484.48,
2001-07,4527.64,
2001-08,4699.76,
2001-09,4770.48,
2001-10,4701.32,
2001-11,4573.92,
2001-12,4572.88,
2002-01,4478.24,
2002-02,4520.36,
2002-03,4554.16,
2002-04,4611.36,
2002-05,4813.12,
2002-06,5048.68,
2002-07,5117.84,
2002-08,5076.24,
2002-09,5077.28,
2002-10,5113.16,
2002-11,5150.08,
2002-12,5350.80,
2003-01,5617.04,
2003-02,5612.36,
2003-03,5565.04,
2003-04,5702.84,
2003-05,6183.84,
2003-06,6019.00,
2003-07,5982.08,
2003-08,5632.64,
2003-09,5971.68,
2003-10,6079.32,
2003-11,6121.44,
2003-12,6498.44,
2004-01,6480.76,
2004-02,6554.60,
2004-03,6351.80,
2004-04,6175.52,
2004-05,6276.40,
2004-06,6316.44,
2004-07,6320.08,
2004-08,6260.28,
2004-09,6372.60,
2004-10,6664.84,
2004-11,6741.80,
2004-12,7089.16,
2005-01,6791.20,
2005-02,6856.72,
2005-03,6728.80,
2005-04,6747.52,
2005-05,6687.20,
2005-06,6290.96,
2005-07,6328.92,
2005-08,6334.12,
2005-09,6242.08,
2005-10,6247.80,
2005-11,6143.28,
2005-12,6163.56,
2006-01,6381.96,
2006-02,6190.60,
2006-03,6281.60,
2006-04,6458.92,
2006-05,6665.88,
2006-06,6537.44,
2006-07,6575.40,
2006-08,6656.52,
2006-09,6603.48,
2006-10,6528.08,
2006-11,6834.36,
2006-12,6829.68,
2007-01,6738.68,
2007-02,6876.48,
2007-03,6938.36,
2007-04,7059.36,
2007-05,7024.68,
2007-06,7007.00,
2007-07,7194.72,
2007-08,7104.24,
2007-09,7335.12,
2007-10,7485.40,
2007-11,7724.60,
2007-12,7485.40,
2008-01,9239.38,comment
2008-02,9299.38,
2008-03,9740.00,
2008-04,9728.13,
2008-05,22458.05,comment
2008-06,22506.45,
2008-07,22244.25,
2008-08,20983.13,
2008-09,20420.25,
2008-10,18696.00,
2008-11,18411.00,
2008-12,20092.50,comment
"","General: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1; for exchange rates as of 2009, see BBEX3:M:TMT:EUR:CA:AC:A01.",
"","Source: Central Bank of Turkmenistan, Ashgabat.",
"","Comment on 2008-01: On 1 January 2008, the fixed exchange rate with the US dollar was changed from USD 1 = TMM 5,200 to USD 1 = TMM 6,250; calculated devaluation: 16.8%.",
"","Comment on 2008-05: On 1 May 2008, the fixed exchange rate with the US dollar was changed from USD 1 = TMM 6,250 to USD 1 = TMM 14,250; calculated devaluation: 56,1%.",
"","Comment on 2008-12: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1.",
