"",BBK01.OEHM08G,BBK01.OEHM08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:08,
2002-01,0.127,
2002-04,0.134,
2002-07,0.125,
2002-10,0.122,
2003-01,0.119,
2003-04,0.113,
2003-07,0.102,
2003-10,0.107,
2004-01,0.114,
2004-04,0.111,
2004-07,0.112,
2004-10,0.109,
2005-01,0.130,
2005-04,0.142,
2005-07,0.150,
2005-10,0.161,
2006-01,0.151,
2006-04,0.154,
2006-07,0.145,
2006-10,0.125,
2007-01,0.104,
2007-04,0.103,
2007-07,0.093,
2007-10,0.084,
2008-01,0.072,
2008-04,0.065,
2008-07,0.067,
2008-10,0.057,
2009-01,0.084,
2009-04,0.116,
2009-07,0.159,
2009-10,0.215,
2010-01,0.247,
2010-04,0.279,
2010-07,0.315,
2010-10,0.325,
2011-01,0.317,
2011-04,0.295,
2011-07,0.287,
2011-10,0.294,
2012-01,0.290,
2012-04,0.365,
2012-07,0.419,
2012-10,0.401,
2013-01,0.408,
2013-04,0.434,
2013-07,0.481,
2013-10,0.446,
2014-01,0.460,
2014-04,0.508,
2014-07,0.548,
