"",BBFB1.Q.N.DE.BE.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:02,
1991-01,-862.864,
1991-04,-961.630,
1991-07,-875.984,
1991-10,-1088.539,
1992-01,-1236.619,
1992-04,-1436.045,
1992-07,-1258.608,
1992-10,-1329.663,
1993-01,-1551.943,
1993-04,-2100.979,
1993-07,-1857.716,
1993-10,-1643.420,
1994-01,-1990.511,
1994-04,-2240.362,
1994-07,-1940.961,
1994-10,-1515.147,
1995-01,-2220.606,
1995-04,-2428.893,
1995-07,-2329.663,
1995-10,-2453.740,
1996-01,-1765.660,
1996-04,-2906.089,
1996-07,-2487.206,
1996-10,-1939.633,
1997-01,-2934.537,
1997-04,-2911.963,
1997-07,-2596.474,
1997-10,-1648.320,
1998-01,-2624.441,
1998-04,-2952.601,
1998-07,-2909.268,
1998-10,-2387.892,
1999-01,-1624.330,
1999-04,-1918.411,
1999-07,-2228.922,
1999-10,-2053.914,
2000-01,-1550.193,
2000-04,-1945.082,
2000-07,-3062.588,
2000-10,-2672.278,
2001-01,-3205.359,
2001-04,-3464.889,
2001-07,-4405.211,
2001-10,-4304.180,
2002-01,-3952.049,
2002-04,-4376.907,
2002-07,-4525.385,
2002-10,-4620.898,
2003-01,-4547.287,
2003-04,-5622.670,
2003-07,-4908.928,
2003-10,-4091.108,
2004-01,-4205.893,
2004-04,-4555.401,
2004-07,-5244.423,
2004-10,-5532.622,
2005-01,-3985.070,
2005-04,-5252.298,
2005-07,-5434.700,
2005-10,-4672.711,
2006-01,-3957.463,
2006-04,-5442.694,
2006-07,-5358.995,
2006-10,-4776.102,
2007-01,-3204.369,
2007-04,-6247.590,
2007-07,-5833.565,
2007-10,-6539.548,
2008-01,-5590.511,
2008-04,-6703.367,
2008-07,-6636.196,
2008-10,-5390.032,
2009-01,-2728.854,
2009-04,-3648.599,
2009-07,-2291.225,
2009-10,-1058.427,
2010-01,-3416.120,
2010-04,-5185.359,
2010-07,-4392.106,
2010-10,-4430.349,
2011-01,-3445.575,
2011-04,-4815.954,
2011-07,-4264.878,
2011-10,-3855.365,
2012-01,-3150.270,
2012-04,-3378.938,
2012-07,-3712.427,
2012-10,-2790.591,
2013-01,-2670.469,
2013-04,-4118.012,
2013-07,-4195.566,
2013-10,-4231.033,
2014-01,-3485.877,Provisional value
2014-04,-3752.344,Provisional value
2014-07,-4244.645,Provisional value
