"",BBK01.TUB610,BBK01.TUB610_FLAGS
"",Lending to euro area credit institutions related to monetary policy operations denominated in euro / longerterm refinancing operations / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:39:59,
2002-01,42829,
2002-02,40394,
2002-03,40429,
2002-04,39649,
2002-05,38616,
2002-06,36923,
2002-07,36395,
2002-08,32016,
2002-09,31690,
2002-10,31555,
2002-11,34049,
2002-12,36144,
2003-01,36646,
2003-02,34744,
2003-03,32084,
2003-04,32463,
2003-05,32929,
2003-06,32412,
2003-07,28810,
2003-08,29136,
2003-09,29673,
2003-10,31110,
2003-11,30422,
2003-12,32279,
2004-01,40002,
2004-02,47477,
2004-03,47477,
2004-04,49421,
2004-05,49477,
2004-06,49477,
2004-07,50923,
2004-08,49494,
2004-09,45572,
2004-10,46918,
2004-11,46049,
2004-12,47318,
2005-01,50859,
2005-02,53461,
2005-03,52113,
2005-04,53477,
2005-05,51434,
2005-06,55622,
2005-07,51872,
2005-08,51872,
2005-09,54787,
2005-10,54210,
2005-11,54210,
2005-12,56448,
2006-01,64703,
2006-02,72460,
2006-03,77426,
2006-04,74938,
2006-05,74938,
2006-06,71455,
2006-07,72782,
2006-08,75711,
2006-09,78451,
2006-10,79315,
2006-11,76727,
2006-12,82329,
2007-01,82329,
2007-02,91504,
2007-03,106381,
2007-04,107456,
2007-05,110281,
2007-06,107023,
2007-07,102411,
2007-08,120461,
2007-09,139273,
2007-10,139273,
2007-11,129918,
2007-12,134769,
2008-01,125690,
2008-02,119669,
2008-03,103496,
2008-04,112389,
2008-05,113238,
2008-06,105881,
2008-07,109025,
2008-08,103771,
2008-09,153496,
2008-10,186424,
2008-11,159693,
2008-12,201644,
2009-01,169212,
2009-02,143448,
2009-03,114575,
2009-04,110582,
2009-05,103380,
2009-06,201645,
2009-07,182899,
2009-08,174959,
2009-09,168778,
2009-10,177734,
2009-11,170632,
2009-12,170004,
2010-01,168501,
2010-02,157333,
2010-03,164684,
2010-04,164494,
2010-05,166810,
2010-06,167013,
2010-07,53341,
2010-08,50349,
2010-09,24013,
2010-10,33757,
2010-11,33807,
2010-12,33460,
2011-01,44358,
2011-02,45097,
2011-03,46105,
2011-04,46109,
2011-05,41281,
2011-06,35857,
2011-07,36023,
2011-08,34041,
2011-09,18434,
2011-10,17686,
2011-11,17687,
2011-12,47112,
2012-01,46575,
2012-02,46575,
2012-03,73228,
2012-04,73658,
2012-05,76123,
2012-06,76967,
2012-07,75650,
2012-08,75050,
2012-09,73945,
2012-10,73945,
2012-11,69655,
2012-12,69651,
2013-01,49144,
2013-02,24948,
2013-03,21579,
2013-04,14305,
2013-05,12133,
2013-06,11844,
2013-07,11152,
2013-08,10607,
2013-09,9877,
2013-10,8696,
2013-11,8419,
2013-12,13771,
2014-01,11034,
2014-02,10962,
2014-03,10996,
2014-04,12931,
2014-05,18520,
2014-06,16054,
2014-07,10543,
2014-08,9686,
2014-09,14916,
2014-10,15151,
2014-11,18490,
2014-12,32944,
