"",BBK01.OEAC01K,BBK01.OEAC01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:29,
2002-01,72.329,
2002-04,72.187,
2002-07,72.927,
2002-10,74.099,
2003-01,72.149,
2003-04,71.297,
2003-07,72.067,
2003-10,73.178,
2004-01,72.961,
2004-04,80.524,
2004-07,79.766,
2004-10,77.199,
2005-01,75.789,
2005-04,75.863,
2005-07,77.034,
2005-10,78.301,
2006-01,77.481,
2006-04,78.171,
2006-07,78.285,
2006-10,77.603,
2007-01,73.385,
2007-04,73.542,
2007-07,74.814,
2007-10,74.064,
2008-01,79.412,
2008-04,82.161,
2008-07,84.979,
2008-10,86.667,
2009-01,86.833,
2009-04,89.588,
2009-07,87.793,
2009-10,83.548,
2010-01,84.410,
2010-04,87.096,
2010-07,88.725,
2010-10,89.783,
2011-01,88.183,
2011-04,87.749,
2011-07,94.929,
2011-10,95.511,
2012-01,94.755,
2012-04,96.951,
2012-07,97.243,
2012-10,92.491,
2013-01,92.375,
2013-04,93.409,
2013-07,93.119,
2013-10,87.461,
2014-01,87.152,
2014-04,88.683,
2014-07,88.798,
