"",BBK01.OEAC55S,BBK01.OEAC55S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:37,
2002-01,4.737,
2002-04,4.733,
2002-07,4.729,
2002-10,4.669,
2003-01,4.625,
2003-04,4.642,
2003-07,5.760,
2003-10,5.733,
2004-01,5.738,
2004-04,5.774,
2004-07,5.865,
2004-10,4.372,
2005-01,4.445,
2005-04,4.466,
2005-07,4.445,
2005-10,4.416,
2006-01,4.376,
2006-04,4.409,
2006-07,4.409,
2006-10,4.407,
2007-01,4.369,
2007-04,4.341,
2007-07,4.418,
2007-10,4.274,
2008-01,4.315,
2008-04,4.388,
2008-07,4.479,
2008-10,4.495,
2009-01,4.505,
2009-04,4.687,
2009-07,4.709,
2009-10,5.004,
2010-01,4.907,
2010-04,4.920,
2010-07,5.017,
2010-10,4.809,
2011-01,4.852,
2011-04,4.906,
2011-07,4.973,
2011-10,5.043,
2012-01,5.055,
2012-04,5.165,
2012-07,5.218,
2012-10,5.292,
2013-01,5.354,
2013-04,5.375,
2013-07,5.347,
2013-10,5.388,
2014-01,5.425,
2014-04,5.498,
2014-07,5.538,
