"",BBK01.OEAE24M,BBK01.OEAE24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:28,
2002-01,0.546,
2002-04,0.561,
2002-07,0.546,
2002-10,0.526,
2003-01,0.575,
2003-04,0.614,
2003-07,0.627,
2003-10,0.627,
2004-01,0.612,
2004-04,0.610,
2004-07,0.597,
2004-10,0.559,
2005-01,0.561,
2005-04,0.559,
2005-07,0.543,
2005-10,0.519,
2006-01,0.514,
2006-04,0.530,
2006-07,0.551,
2006-10,0.549,
2007-01,0.553,
2007-04,0.546,
2007-07,0.568,
2007-10,0.554,
2008-01,0.531,
2008-04,0.539,
2008-07,0.538,
2008-10,0.598,
2009-01,0.617,
2009-04,0.670,
2009-07,0.710,
2009-10,0.731,
2010-01,0.772,
2010-04,0.833,
2010-07,0.864,
2010-10,0.869,
2011-01,0.882,
2011-04,0.924,
2011-07,0.901,
2011-10,0.921,
2012-01,0.914,
2012-04,0.961,
2012-07,0.982,
2012-10,1.002,
2013-01,1.006,
2013-04,1.091,
2013-07,1.089,
2013-10,1.134,
2014-01,1.175,
2014-04,1.173,
2014-07,1.188,
