"",BBK01.OEAP01J,BBK01.OEAP01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:49,
2002-01,0.094,
2002-04,0.067,
2002-07,0.052,
2002-10,0.074,
2003-01,0.054,
2003-04,0.035,
2003-07,0.039,
2003-10,0.033,
2004-01,0.024,
2004-04,0.024,
2004-07,0.027,
2004-10,0.023,
2005-01,0.030,
2005-04,0.016,
2005-07,0.010,
2005-10,0.018,
2006-01,0.017,
2006-04,0.014,
2006-07,0.021,
2006-10,0.014,
2007-01,0.009,
2007-04,0.008,
2007-07,0.009,
2007-10,0.010,
2008-01,0.026,
2008-04,0.007,
2008-07,0.008,
2008-10,0.017,
2009-01,0.024,
2009-04,0.018,
2009-07,0.008,
2009-10,0.010,
2010-01,0.002,
2010-04,0.005,
2010-07,0.003,
2010-10,0.003,
2011-01,0.003,
2011-04,0.004,
2011-07,0.002,
2011-10,0.002,
2012-01,0.002,
2012-04,0.000,
2012-07,0.000,
2012-10,0.002,
2013-01,0.000,
2013-04,0.000,
2013-07,0.001,
2013-10,0.006,
2014-01,0.000,
2014-04,0.004,
2014-07,0.008,
