"",BBEX3.M.UYU.USD.CA.AC.A01,BBEX3.M.UYU.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Uruguay / USD 1 = UYU ... (middle),
unit,UYU (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:55,
2008-01,21.026,
2008-02,20.849,
2008-03,20.345,
2008-04,19.949,
2008-05,19.745,
2008-06,19.418,
2008-07,19.195,
2008-08,19.257,
2008-09,21.440,
2008-10,23.150,
2008-11,23.950,
2008-12,24.350,
2009-01,22.700,
2009-02,23.750,
2009-03,24.050,
2009-04,23.909,
2009-05,23.400,
2009-06,23.402,
2009-07,23.250,
2009-08,22.532,
2009-09,21.450,
2009-10,20.800,
2009-11,20.093,
2009-12,19.627,
2010-01,19.600,
2010-02,19.810,
2010-03,19.452,
2010-04,19.200,
2010-05,19.149,
2010-06,21.119,
2010-07,20.850,
2010-08,20.797,
2010-09,20.296,
2010-10,20.001,
2010-11,19.950,
2010-12,20.094,
2011-01,19.669,
2011-02,19.500,
2011-03,19.193,
2011-04,18.950,
2011-05,18.600,
2011-06,18.400,
2011-07,18.418,
2011-08,18.631,
2011-09,20.250,
2011-10,19.326,
2011-11,19.857,
2011-12,19.898,
2012-01,19.611,
2012-02,19.288,
2012-03,19.542,
2012-04,19.793,
2012-05,21.235,
2012-06,21.914,
2012-07,21.558,
2012-08,21.405,
2012-09,20.980,
2012-10,19.901,
2012-11,19.651,
2012-12,19.399,
2013-01,19.143,
2013-02,19.114,
2013-03,18.945,
2013-04,18.943,
2013-05,20.268,
2013-06,20.547,
2013-07,21.500,
2013-08,22.589,
2013-09,22.038,
2013-10,21.523,
2013-11,21.159,
2013-12,21.389,
2014-01,22.178,
2014-02,22.455,
2014-03,22.634,
2014-04,23.027,
2014-05,22.914,
2014-06,22.880,
2014-07,23.301,
2014-08,23.718,
2014-09,24.665,
2014-10,24.162,
2014-11,23.690,
2014-12,24.333,
2015-01,24.449,
"","Source: Banco Central del Uruguay, Montevideo",
