"",BBSF2.M.1.P.00000.GEL01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEL01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Public funds / Money market funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:12,
2009-09,400,
2009-10,340,
2009-11,214,
2009-12,215,
2010-01,228,
2010-02,232,
2010-03,161,
2010-04,190,
2010-05,253,
2010-06,240,
2010-07,215,
2010-08,211,
2010-09,222,
2010-10,217,
2010-11,258,
2010-12,229,
2011-01,202,
2011-02,190,
2011-03,205,
2011-04,202,
2011-05,185,
2011-06,203,
2011-07,130,
2011-08,175,
2011-09,208,
2011-10,154,
2011-11,122,
2011-12,91,
2012-01,133,
2012-02,94,
2012-03,86,
2012-04,92,
2012-05,57,
2012-06,107,
2012-07,51,
2012-08,56,
2012-09,35,
2012-10,38,
2012-11,28,
2012-12,38,
2013-01,23,
2013-02,23,
2013-03,23,
2013-04,26,
2013-05,26,
2013-06,34,
2013-07,29,
2013-08,16,
2013-09,16,
2013-10,16,
2013-11,10,
2013-12,6,
2014-01,6,
2014-02,6,
2014-03,19,
2014-04,10,
2014-05,10,
2014-06,18,
2014-07,18,
2014-08,10,
2014-09,2,
2014-10,3,
2014-11,3,
