"",BBK01.OEBL07K,BBK01.OEBL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:52,
2002-01,2.547,
2002-04,2.228,
2002-07,2.234,
2002-10,2.359,
2003-01,2.405,
2003-04,2.360,
2003-07,2.411,
2003-10,2.404,
2004-01,2.344,
2004-04,2.313,
2004-07,2.428,
2004-10,2.445,
2005-01,3.552,
2005-04,3.685,
2005-07,3.658,
2005-10,3.567,
2006-01,3.465,
2006-04,3.466,
2006-07,3.380,
2006-10,3.417,
2007-01,3.610,
2007-04,3.640,
2007-07,3.639,
2007-10,3.789,
2008-01,3.902,
2008-04,3.994,
2008-07,3.959,
2008-10,4.518,
2009-01,4.649,
2009-04,4.818,
2009-07,5.166,
2009-10,5.005,
2010-01,4.946,
2010-04,4.883,
2010-07,4.892,
2010-10,5.160,
2011-01,5.228,
2011-04,5.034,
2011-07,4.943,
2011-10,4.917,
2012-01,5.099,
2012-04,5.022,
2012-07,5.263,
2012-10,5.233,
2013-01,4.943,
2013-04,4.847,
2013-07,4.744,
2013-10,4.734,
2014-01,4.667,
2014-04,4.594,
2014-07,4.729,
