"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:22,
1991-01,4955.129,
1991-02,8748.824,
1991-03,2575.513,
1991-04,-4128.634,
1991-05,-927.801,
1991-06,8194.368,
1991-07,-1953.854,
1991-08,3962.597,
1991-09,3859.031,
1991-10,11784.293,
1991-11,10181.582,
1991-12,1174.078,
1992-01,2161.388,
1992-02,1975.508,
1992-03,2929.199,
1992-04,1361.783,
1992-05,-98.502,
1992-06,3654.040,
1992-07,5025.058,
1992-08,2675.289,
1992-09,36539.883,
1992-10,5454.046,
1992-11,7146.166,
1992-12,14671.486,
1993-01,2928.337,
1993-02,16351.206,
1993-03,13735.498,
1993-04,5105.959,
1993-05,9913.087,
1993-06,18487.325,
1993-07,8915.111,
1993-08,11640.431,
1993-09,3646.956,
1993-10,8150.514,
1993-11,13703.578,
1993-12,23783.534,
1994-01,1246.190,
1994-02,-1229.611,
1994-03,-3275.293,
1994-04,-2431.104,
1994-05,3082.517,
1994-06,-5623.738,
1994-07,1903.884,
1994-08,7076.661,
1994-09,5242.765,
1994-10,6708.792,
1994-11,13345.742,
1994-12,20567.028,
1995-01,-898.587,
1995-02,11204.689,
1995-03,7666.237,
1995-04,11765.727,
1995-05,13671.460,
1995-06,13110.193,
1995-07,-1077.956,
1995-08,9279.434,
1995-09,8999.102,
1995-10,610.475,
1995-11,13352.825,
1995-12,5492.667,
1996-01,-284.482,
1996-02,12347.409,
1996-03,7972.571,
1996-04,3232.716,
1996-05,12492.527,
1996-06,3689.832,
1996-07,-2834.645,
1996-08,1884.886,
1996-09,7489.132,
1996-10,1035.626,
1996-11,29938.529,
1996-12,28666.595,
1997-01,21366.103,
1997-02,24128.863,
1997-03,18607.498,
1997-04,14520.998,
1997-05,3011.153,
1997-06,30128.188,
1997-07,21401.416,
1997-08,-5175.688,
1997-09,17770.128,
1997-10,18382.218,
1997-11,22393.145,
1997-12,14290.005,
1998-01,21836.344,
1998-02,33716.416,
1998-03,38659.512,
1998-04,31382.652,
1998-05,32224.080,
1998-06,19456.385,
1998-07,-218.407,
1998-08,13691.871,
1998-09,14573.879,
1998-10,24167.306,
1998-11,69574.790,
1998-12,5596.473,
1999-01,114184.244,
1999-02,-26981.677,
1999-03,25654.525,
1999-04,32051.397,
1999-05,8709.940,
1999-06,33364.339,
1999-07,9477.613,
1999-08,37119.409,
1999-09,23134.457,
1999-10,24490.564,
1999-11,74670.098,
1999-12,9575.755,
2000-01,38512.889,
2000-02,82306.393,
2000-03,45626.311,
2000-04,30824.516,
2000-05,31852.817,
2000-06,33207.974,
2000-07,-3032.632,
2000-08,48728.552,
2000-09,57465.925,
2000-10,39037.217,
2000-11,10711.117,
2000-12,-15728.925,
2001-01,44013.519,
2001-02,49783.779,
2001-03,63738.792,
2001-04,19191.058,
2001-05,37887.200,
2001-06,7438.371,
2001-07,-9023.122,
2001-08,28139.715,
2001-09,37441.766,
2001-10,31448.539,
2001-11,22552.573,
2001-12,-26892.632,
2002-01,18155.129,
2002-02,-3932.726,
2002-03,40187.075,
2002-04,35398.783,
2002-05,43905.245,
2002-06,640.496,
2002-07,33660.743,
2002-08,13326.885,
2002-09,46945.662,
2002-10,31598.457,
2002-11,36113.748,
2002-12,-46683.338,
2003-01,35294.648,
2003-02,48375.878,
2003-03,38456.656,
2003-04,31102.499,
2003-05,29599.447,
2003-06,22013.592,
2003-07,781.923,
2003-08,-23852.581,
2003-09,26925.681,
2003-10,19269.425,
2003-11,8936.920,
2003-12,6870.022,
2004-01,40310.333,
2004-02,1084.353,
2004-03,49551.213,
2004-04,25307.734,
2004-05,-5977.225,
2004-06,637.425,
2004-07,13741.667,
2004-08,28189.950,
2004-09,63276.309,
2004-10,12718.185,
2004-11,63027.528,
2004-12,-26554.140,
2005-01,57491.292,
2005-02,64655.079,
2005-03,44434.039,
2005-04,77109.855,
2005-05,16176.435,
2005-06,14819.632,
2005-07,19071.425,
2005-08,-3914.502,
2005-09,54525.449,
2005-10,48216.203,
2005-11,61461.639,
2005-12,-45053.542,
2006-01,71101.734,
2006-02,50399.446,
2006-03,64758.292,
2006-04,15746.170,
2006-05,41689.924,
2006-06,43901.413,
2006-07,-18863.219,
2006-08,33401.313,
2006-09,66927.143,
2006-10,28866.109,
2006-11,70342.839,
2006-12,19269.406,
2007-01,54350.918,
2007-02,79973.351,
2007-03,44889.510,
2007-04,66723.115,
2007-05,89987.659,
2007-06,66666.492,
2007-07,9100.939,
2007-08,56842.662,
2007-09,88426.478,
2007-10,80744.448,
2007-11,73359.508,
2007-12,-35480.659,
2008-01,91742.172,
2008-02,71122.531,
2008-03,58073.380,
2008-04,24679.187,
2008-05,26065.975,
2008-06,13630.262,
2008-07,-8306.630,
2008-08,9209.148,
2008-09,74695.481,
2008-10,-48958.602,
2008-11,-26805.643,
2008-12,-71991.014,
2009-01,-10326.871,
2009-02,-12561.045,
2009-03,-18008.394,
2009-04,35518.377,
2009-05,8984.235,
2009-06,33914.067,
2009-07,-29687.683,
2009-08,5261.311,
2009-09,-8192.444,
2009-10,21492.956,
2009-11,20221.163,
2009-12,-10945.008,
2010-01,6105.124,
2010-02,32349.487,
2010-03,48241.019,
2010-04,77089.093,
2010-05,116716.667,
2010-06,-72916.882,
2010-07,17941.193,
2010-08,63437.526,
2010-09,13737.185,
2010-10,95249.144,
2010-11,60184.517,
2010-12,-39768.694,
2011-01,21126.734,
2011-02,60379.366,
2011-03,-25216.671,
2011-04,65674.828,
2011-05,52461.451,
2011-06,-34136.624,
2011-07,2172.721,
2011-08,105086.200,
2011-09,64182.561,
2011-10,11786.484,
2011-11,33277.343,
2011-12,-93709.312,
2012-01,112101.108,
2012-02,57137.726,
2012-03,90052.871,
2012-04,33208.734,
2012-05,81413.090,
2012-06,2682.450,
2012-07,30524.259,
2012-08,18492.168,
2012-09,-21844.378,
2012-10,48325.227,
2012-11,25859.660,
2012-12,-89460.564,
2013-01,4354.564,
2013-02,29402.792,
2013-03,-3899.605,
2013-04,58487.306,
2013-05,1405.990,
2013-06,2690.979,
2013-07,-27156.699,
2013-08,5312.169,
2013-09,4830.411,
2013-10,30368.858,
2013-11,28066.752,
2013-12,-95074.588,
2014-01,53091.445,
2014-02,20896.352,Provisional value
2014-03,18524.998,Provisional value
2014-04,54687.942,Provisional value
2014-05,40657.381,Provisional value
2014-06,14226.381,Provisional value
2014-07,25033.661,Provisional value
2014-08,17722.399,Provisional value
2014-09,32556.801,
2014-10,12945.175,
2014-11,75923.049,
2014-12,-78322.261,Provisional value
