"",BBK01.OEHB17V,BBK01.OEHB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:46,
2002-01,5.275,
2002-04,5.315,
2002-07,5.340,
2002-10,5.345,
2003-01,5.228,
2003-04,5.238,
2003-07,5.289,
2003-10,5.316,
2004-01,5.213,
2004-04,5.240,
2004-07,5.248,
2004-10,5.247,
2005-01,5.222,
2005-04,5.236,
2005-07,5.267,
2005-10,5.267,
2006-01,5.224,
2006-04,5.264,
2006-07,5.299,
2006-10,5.310,
2007-01,5.250,
2007-04,5.254,
2007-07,5.274,
2007-10,5.250,
2008-01,5.160,
2008-04,5.154,
2008-07,5.158,
2008-10,5.134,
2009-01,5.090,
2009-04,5.118,
2009-07,5.126,
2009-10,5.143,
2010-01,5.124,
2010-04,5.134,
2010-07,5.130,
2010-10,5.159,
2011-01,5.141,
2011-04,5.179,
2011-07,5.244,
2011-10,5.268,
2012-01,5.271,
2012-04,5.319,
2012-07,5.395,
2012-10,5.429,
2013-01,5.427,
2013-04,5.497,
2013-07,5.583,
2013-10,5.609,
2014-01,5.622,
2014-04,5.691,
2014-07,5.786,
