"",BBSF2.M.1.S.I0122.TOT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.TOT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Domestic credit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:10,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,317,
1993-05,323,
1993-06,329,
1993-07,339,
1993-08,353,
1993-09,364,
1993-10,372,
1993-11,378,
1993-12,384,
1994-01,393,
1994-02,411,
1994-03,427,
1994-04,440,
1994-05,455,
1994-06,468,
1994-07,484,
1994-08,501,
1994-09,507,
1994-10,511,
1994-11,516,
1994-12,529,
1995-01,539,
1995-02,549,
1995-03,555,
1995-04,557,
1995-05,561,
1995-06,562,
1995-07,567,
1995-08,576,
1995-09,580,
1995-10,582,
1995-11,583,
1995-12,593,
1996-01,603,
1996-02,611,
1996-03,623,
1996-04,637,
1996-05,648,
1996-06,655,
1996-07,667,
1996-08,678,
1996-09,683,
1996-10,696,
1996-11,701,
1996-12,718,
1997-01,730,
1997-02,748,
1997-03,771,
1997-04,791,
1997-05,802,
1997-06,817,
1997-07,853,
1997-08,879,
1997-09,908,
1997-10,932,
1997-11,952,
1997-12,972,
1998-01,1004,
1998-02,1030,
1998-03,1102,
1998-04,1118,
1998-05,1140,
1998-06,1175,
1998-07,1212,
1998-08,1247,
1998-09,1288,
1998-10,1318,
1998-11,1332,
1998-12,1365,
1999-01,1384,
1999-02,1404,
1999-03,1429,
1999-04,1457,
1999-05,1486,
1999-06,1508,
1999-07,1524,
1999-08,1548,
1999-09,1550,
1999-10,1563,
1999-11,1586,
1999-12,1621,
2000-01,1637,
2000-02,1646,
2000-03,1675,
2000-04,1700,
2000-05,1725,
2000-06,1736,
2000-07,1753,
2000-08,1770,
2000-09,1784,
2000-10,1798,
2000-11,1817,
2000-12,1837,
2001-01,1868,
2001-02,1892,
2001-03,1894,
2001-04,1914,
2001-05,1919,
2001-06,1927,
2001-07,1933,
2001-08,1946,
2001-09,1951,
2001-10,1954,
2001-11,1950,
2001-12,1939,
2002-01,1947,
2002-02,1943,
2002-03,1928,
2002-04,1932,
2002-05,1926,
2002-06,1915,
2002-07,1909,
2002-08,1913,
2002-09,1907,
2002-10,1908,
2002-11,1899,
2002-12,1867,
2003-01,1855,
2003-02,1854,
2003-03,1846,
2003-04,1847,
2003-05,1844,
2003-06,1851,
2003-07,1843,
2003-08,1847,
2003-09,1848,
2003-10,1861,
2003-11,1857,
2003-12,1872,
2004-01,1890,
2004-02,1871,
2004-03,1877,
2004-04,1871,
2004-05,1859,
2004-06,1848,
2004-07,1845,
2004-08,1842,
2004-09,1833,
2004-10,1821,
2004-11,1803,
2004-12,1795,
2005-01,1793,
2005-02,1781,
2005-03,1749,
2005-04,1752,
2005-05,1743,
2005-06,1737,
2005-07,1735,
2005-08,1730,
2005-09,1726,
2005-10,1733,
2005-11,1720,
2005-12,1726,
2006-01,1725,
2006-02,1708,
2006-03,1676,
2006-04,1653,
2006-05,1629,
2006-06,1618,
2006-07,1607,
2006-08,1596,
2006-09,1588,
2006-10,1577,
2006-11,1572,
2006-12,1551,
2007-01,1534,
2007-02,1518,
2007-03,1496,
2007-04,1491,
2007-05,1487,
2007-06,1483,
2007-07,1480,
2007-08,1463,
2007-09,1460,
2007-10,1448,
2007-11,1436,
2007-12,1408,
2008-01,1392,
2008-02,1376,
2008-03,1366,
2008-04,1368,
2008-05,1355,
2008-06,1339,
2008-07,1333,
2008-08,1329,
2008-09,1319,
2008-10,1312,
2008-11,1303,
2008-12,1269,
2009-01,1259,
2009-02,1249,
2009-03,1234,
2009-04,1231,
2009-05,1231,
2009-06,1221,
2009-07,1225,
2009-08,1230,
2009-09,1234,
2009-10,1236,
2009-11,1232,
2009-12,1228,
2010-01,1218,
2010-02,1207,
2010-03,1185,
2010-04,1136,
2010-05,1088,
2010-06,1070,
2010-07,1050,
2010-08,1055,
2010-09,1052,
2010-10,1054,
2010-11,1048,
2010-12,1042,
2011-01,1038,
2011-02,1027,
2011-03,1025,
2011-04,1026,
2011-05,1024,
2011-06,1026,
2011-07,1029,
2011-08,1030,
2011-09,1057,
2011-10,1149,
2011-11,1147,
2011-12,1141,
2012-01,1133,
2012-02,1124,
2012-03,1113,
2012-04,1122,
2012-05,1124,
2012-06,1121,
2012-07,1121,
2012-08,1119,
2012-09,1123,
2012-10,1120,
2012-11,1109,
2012-12,1110,
2013-01,1110,
2013-02,1098,
2013-03,1091,
2013-04,1090,
2013-05,1096,
2013-06,1097,
2013-07,1138,
2013-08,1140,
2013-09,1131,
2013-10,1124,
2013-11,1115,
2013-12,1121,
2014-01,1116,
2014-02,1113,
2014-03,1098,
2014-04,1100,
2014-05,1101,
2014-06,1091,
2014-07,1086,
2014-08,1089,
2014-09,1089,
2014-10,1085,
2014-11,1087,
