"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:49,
1991-01,18.840,
1991-04,32.761,
1991-07,81.452,
1991-10,160.091,
1992-01,4.110,
1992-04,28.701,
1992-07,13.230,
1992-10,21.745,
1993-01,8.885,
1993-04,55.998,
1993-07,61.769,
1993-10,451.251,
1994-01,-34.447,
1994-04,32.365,
1994-07,-84.241,
1994-10,-52.074,
1995-01,175.762,
1995-04,336.401,
1995-07,289.814,
1995-10,358.404,
1996-01,125.245,
1996-04,445.531,
1996-07,-175.542,
1996-10,275.970,
1997-01,308.880,
1997-04,189.626,
1997-07,283.144,
1997-10,788.207,
1998-01,-452.581,
1998-04,310.659,
1998-07,507.842,
1998-10,399.400,
1999-01,-78.970,
1999-04,320.551,
1999-07,370.810,
1999-10,54.915,
2000-01,2148.138,
2000-04,2422.584,
2000-07,1821.658,
2000-10,490.226,
2001-01,2513.026,
2001-04,1076.695,
2001-07,-743.423,
2001-10,-4076.810,
2002-01,-2244.672,
2002-04,-577.945,
2002-07,-252.819,
2002-10,-28.838,
2003-01,353.461,
2003-04,-402.880,
2003-07,337.116,
2003-10,384.024,
2004-01,-216.855,
2004-04,-69.189,
2004-07,147.799,
2004-10,1497.705,
2005-01,-940.204,
2005-04,245.626,
2005-07,-641.773,
2005-10,1072.281,
2006-01,614.961,
2006-04,16.435,
2006-07,329.531,
2006-10,919.653,
2007-01,1168.152,
2007-04,880.065,
2007-07,-1422.014,
2007-10,5835.710,
2008-01,-552.598,
2008-04,85.819,
2008-07,-761.906,
2008-10,-3797.015,
2009-01,1797.790,
2009-04,-55.092,
2009-07,-867.264,
2009-10,-2876.888,
2010-01,-1469.127,
2010-04,481.287,
2010-07,-449.843,
2010-10,309.745,
2011-01,-223.481,
2011-04,32.457,
2011-07,515.632,
2011-10,-23.237,
2012-01,91.183,
2012-04,843.902,
2012-07,404.463,
2012-10,187.550,
2013-01,993.427,
2013-04,387.820,
2013-07,649.850,
2013-10,666.260,
2014-01,188.796,Provisional value
2014-04,598.944,Provisional value
2014-07,-611.213,Provisional value
2014-10,783.320,Provisional value
