"",BBK01.OEYJ05M,BBK01.OEYJ05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:57,
2002-01,18.197,
2002-04,18.298,
2002-07,18.192,
2002-10,19.652,
2003-01,20.288,
2003-04,20.578,
2003-07,21.853,
2003-10,18.867,
2004-01,19.692,
2004-04,21.951,
2004-07,22.933,
2004-10,23.709,
2005-01,24.724,
2005-04,25.848,
2005-07,25.961,
2005-10,26.048,
2006-01,26.509,
2006-04,27.146,
2006-07,27.660,
2006-10,27.563,
2007-01,28.269,
2007-04,28.969,
2007-07,29.279,
2007-10,29.590,
2008-01,30.416,
2008-04,30.578,
2008-07,30.594,
2008-10,30.464,
2009-01,31.575,
2009-04,32.640,
2009-07,32.794,
2009-10,32.493,
2010-01,32.255,
2010-04,31.800,
2010-07,31.256,
2010-10,31.311,
2011-01,31.585,
2011-04,31.112,
2011-07,30.383,
2011-10,29.762,
2012-01,29.289,
2012-04,29.020,
2012-07,29.094,
2012-10,28.880,
2013-01,28.493,
2013-04,28.308,
2013-07,27.842,
2013-10,27.084,
2014-01,26.563,
2014-04,25.657,
2014-07,25.475,
