"",BBK01.OEAA19P,BBK01.OEAA19P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:54,
2002-01,1.972,
2002-04,1.999,
2002-07,1.997,
2002-10,1.529,
2003-01,1.666,
2003-04,1.524,
2003-07,1.466,
2003-10,1.297,
2004-01,1.192,
2004-04,1.135,
2004-07,1.237,
2004-10,1.138,
2005-01,1.169,
2005-04,1.214,
2005-07,1.167,
2005-10,1.140,
2006-01,1.130,
2006-04,1.239,
2006-07,1.225,
2006-10,1.222,
2007-01,1.189,
2007-04,1.170,
2007-07,1.174,
2007-10,1.157,
2008-01,1.120,
2008-04,1.211,
2008-07,1.185,
2008-10,1.158,
2009-01,1.142,
2009-04,1.101,
2009-07,1.029,
2009-10,1.016,
2010-01,1.089,
2010-04,0.963,
2010-07,0.946,
2010-10,0.959,
2011-01,1.061,
2011-04,1.086,
2011-07,1.064,
2011-10,1.036,
2012-01,1.410,
2012-04,1.197,
2012-07,1.244,
2012-10,1.135,
2013-01,1.146,
2013-04,1.148,
2013-07,1.183,
2013-10,1.179,
2014-01,1.171,
2014-04,1.129,
2014-07,1.185,
