"",BBFN1.M.DE.N.1.L.NL.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:59,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,4.824,
1995-01,4.537,
1995-02,4.611,
1995-03,4.900,
1995-04,4.996,
1995-05,4.948,
1995-06,5.148,
1995-07,4.710,
1995-08,4.618,
1995-09,4.898,
1995-10,5.010,
1995-11,5.054,
1995-12,4.940,
1996-01,4.522,
1996-02,4.517,
1996-03,5.084,
1996-04,4.774,
1996-05,4.753,
1996-06,4.696,
1996-07,4.497,
1996-08,4.461,
1996-09,4.522,
1996-10,4.303,
1996-11,4.552,
1996-12,4.864,
1997-01,4.855,
1997-02,4.858,
1997-03,5.097,
1997-04,5.139,
1997-05,5.131,
1997-06,5.130,
1997-07,5.047,
1997-08,5.084,
1997-09,5.210,
1997-10,5.156,
1997-11,5.082,
1997-12,5.653,
1998-01,5.194,
1998-02,5.151,
1998-03,5.184,
1998-04,4.875,
1998-05,4.830,
1998-06,4.834,
1998-07,4.781,
1998-08,4.618,
1998-09,4.960,
1998-10,4.799,
1998-11,4.592,
1998-12,5.049,
1999-01,4.593,
1999-02,4.547,
1999-03,4.773,
1999-04,4.941,
1999-05,4.738,
1999-06,5.101,
1999-07,4.866,
1999-08,4.802,
1999-09,4.999,
1999-10,5.067,
1999-11,4.734,
1999-12,5.261,
2000-01,5.015,
2000-02,5.498,
2000-03,5.767,
2000-04,5.770,
2000-05,5.915,
2000-06,6.378,
2000-07,5.990,
2000-08,6.188,
2000-09,6.559,
2000-10,7.044,
2000-11,7.703,
2000-12,6.571,
2001-01,6.369,
2001-02,6.524,
2001-03,6.628,
2001-04,6.323,
2001-05,6.356,
2001-06,6.227,
2001-07,6.122,
2001-08,5.984,
2001-09,6.317,
2001-10,6.449,
2001-11,6.781,
2001-12,7.095,
2002-01,6.509,
2002-02,6.425,
2002-03,6.382,
2002-04,6.218,
2002-05,6.127,
2002-06,6.227,
2002-07,6.352,
2002-08,5.959,
2002-09,6.014,
2002-10,6.180,
2002-11,6.542,
2002-12,6.208,
2003-01,5.618,
2003-02,6.043,
2003-03,5.812,
2003-04,5.432,
2003-05,5.599,
2003-06,5.505,
2003-07,5.296,
2003-08,5.101,
2003-09,5.454,
2003-10,5.556,
2003-11,5.721,
2003-12,5.690,
2004-01,5.509,
2004-02,5.692,
2004-03,6.183,
2004-04,5.890,
2004-05,5.750,
2004-06,5.785,
2004-07,5.669,
2004-08,5.784,
2004-09,6.182,
2004-10,6.090,
2004-11,6.274,
2004-12,6.227,
2005-01,6.036,
2005-02,6.135,
2005-03,6.144,
2005-04,6.257,
2005-05,5.851,
2005-06,5.935,
2005-07,5.751,
2005-08,5.987,
2005-09,6.432,
2005-10,6.594,
2005-11,6.318,
2005-12,6.595,
2006-01,6.080,
2006-02,6.374,
2006-03,6.530,
2006-04,6.713,
2006-05,6.022,
2006-06,5.890,
2006-07,5.645,
2006-08,5.663,
2006-09,6.102,
2006-10,6.369,
2006-11,6.772,
2006-12,7.464,
2007-01,7.005,
2007-02,7.012,
2007-03,7.305,
2007-04,6.835,
2007-05,6.676,
2007-06,6.857,
2007-07,6.670,
2007-08,6.741,
2007-09,7.331,
2007-10,7.593,
2007-11,7.706,
2007-12,7.553,
2008-01,7.898,
2008-02,7.697,
2008-03,8.074,
2008-04,8.199,
2008-05,8.237,
2008-06,8.305,
2008-07,7.902,
2008-08,7.965,
2008-09,9.130,
2008-10,8.975,
2008-11,8.681,
2008-12,9.501,
2009-01,7.941,
2009-02,7.513,
2009-03,7.683,
2009-04,7.253,
2009-05,7.164,
2009-06,8.067,
2009-07,8.563,
2009-08,8.515,
2009-09,9.091,
2009-10,8.994,
2009-11,9.085,
2009-12,8.941,
2010-01,8.240,
2010-02,8.517,
2010-03,9.488,
2010-04,9.476,
2010-05,9.812,
2010-06,10.212,
2010-07,9.746,
2010-08,10.088,
2010-09,9.926,
2010-10,10.040,
2010-11,10.405,
2010-12,10.856,
2011-01,10.343,
2011-02,10.620,
2011-03,11.122,
2011-04,11.000,
2011-05,11.092,
2011-06,11.183,
2011-07,11.132,
2011-08,11.159,
2011-09,11.717,
2011-10,11.537,
2011-11,11.679,
2011-12,13.300,
2012-01,12.019,
2012-02,11.974,
2012-03,11.684,
2012-04,11.974,
2012-05,11.911,
2012-06,12.109,
2012-07,11.740,
2012-08,11.038,
2012-09,11.818,
2012-10,12.204,
2012-11,12.855,
2012-12,13.497,
2013-01,13.451,
2013-02,12.768,
2013-03,11.696,
2013-04,11.864,
2013-05,11.920,
2013-06,11.493,
2013-07,11.524,
2013-08,11.937,
2013-09,12.098,
2013-10,12.636,
2013-11,12.244,
2013-12,13.208,
2014-01,11.438,
2014-02,11.395,
2014-03,12.328,
2014-04,11.765,
2014-05,11.619,
2014-06,11.912,
2014-07,11.828,
2014-08,11.766,
2014-09,12.185,
2014-10,12.326,
2014-11,12.374,
2014-12,11.535,
