"",BBK01.OELL02N,BBK01.OELL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:47,
2002-01,10.632,
2002-04,10.871,
2002-07,10.700,
2002-10,11.405,
2003-01,11.607,
2003-04,11.851,
2003-07,11.698,
2003-10,12.009,
2004-01,12.295,
2004-04,12.526,
2004-07,12.425,
2004-10,12.802,
2005-01,12.808,
2005-04,12.989,
2005-07,12.998,
2005-10,13.664,
2006-01,13.679,
2006-04,13.951,
2006-07,13.709,
2006-10,14.178,
2007-01,14.543,
2007-04,14.812,
2007-07,14.770,
2007-10,15.445,
2008-01,15.108,
2008-04,15.134,
2008-07,14.649,
2008-10,15.994,
2009-01,16.709,
2009-04,18.212,
2009-07,18.864,
2009-10,20.055,
2010-01,20.516,
2010-04,21.396,
2010-07,21.663,
2010-10,22.326,
2011-01,22.154,
2011-04,22.210,
2011-07,22.487,
2011-10,23.548,
2012-01,23.888,
2012-04,25.005,
2012-07,25.943,
2012-10,27.133,
2013-01,28.110,
2013-04,29.025,
2013-07,29.318,
2013-10,30.487,
2014-01,30.711,
2014-04,31.467,
2014-07,32.188,
