"",BBFN1.M.DE.N.1.L.JP.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1995-12,0.133,
1996-01,0.135,
1996-02,0.123,
1996-03,0.123,
1996-04,0.123,
1996-05,0.123,
1996-06,0.123,
1996-07,0.124,
1996-08,0.121,
1996-09,0.121,
1996-10,0.121,
1996-11,0.121,
1996-12,0.117,
1997-01,0.112,
1997-02,0.100,
1997-03,0.100,
1997-04,0.100,
1997-05,0.100,
1997-06,0.100,
1997-07,0.100,
1997-08,0.100,
1997-09,0.121,
1997-10,0.121,
1997-11,0.120,
1997-12,0.121,
1998-01,0.121,
1998-02,0.111,
1998-03,0.111,
1998-04,0.111,
1998-05,0.080,
1998-06,0.080,
1998-07,0.079,
1998-08,0.079,
1998-09,0.079,
1998-10,0.079,
1998-11,0.077,
1998-12,0.142,
1999-01,0.142,
1999-02,0.129,
1999-03,0.136,
1999-04,0.136,
1999-05,0.136,
1999-06,0.136,
1999-07,0.136,
1999-08,0.136,
1999-09,0.136,
1999-10,0.152,
1999-11,0.153,
1999-12,0.163,
2000-01,0.155,
2000-02,0.142,
2000-03,0.142,
2000-04,0.142,
2000-05,0.142,
2000-06,0.146,
2000-07,0.148,
2000-08,0.148,
2000-09,0.160,
2000-10,0.160,
2000-11,0.173,
2000-12,0.214,
2001-01,0.214,
2001-02,0.301,
2001-03,0.213,
2001-04,0.212,
2001-05,0.213,
2001-06,0.214,
2001-07,0.214,
2001-08,0.214,
2001-09,0.214,
2001-10,0.215,
2001-11,0.215,
2001-12,0.211,
2002-01,0.207,
2002-02,0.207,
2002-03,0.200,
2002-04,0.197,
2002-05,0.197,
2002-06,0.198,
2002-07,0.198,
2002-08,0.200,
2002-09,0.200,
2002-10,0.245,
2002-11,0.245,
2002-12,0.238,
2003-01,0.234,
2003-02,0.234,
2003-03,0.233,
2003-04,0.233,
2003-05,0.231,
2003-06,0.226,
2003-07,0.215,
2003-08,0.178,
2003-09,0.178,
2003-10,0.183,
2003-11,0.183,
2003-12,0.178,
2004-01,0.175,
2004-02,0.175,
2004-03,0.176,
2004-04,0.178,
2004-05,0.188,
2004-06,0.183,
2004-07,0.183,
2004-08,0.183,
2004-09,0.204,
2004-10,0.204,
2004-11,0.204,
2004-12,0.200,
2005-01,0.194,
2005-02,0.170,
2005-03,0.181,
2005-04,0.201,
2005-05,0.201,
2005-06,0.198,
2005-07,0.198,
2005-08,0.198,
2005-09,0.175,
2005-10,0.175,
2005-11,0.175,
2005-12,0.172,
2006-01,0.173,
2006-02,0.173,
2006-03,0.172,
2006-04,0.172,
2006-05,0.172,
2006-06,0.168,
2006-07,0.168,
2006-08,0.168,
2006-09,0.168,
2006-10,0.168,
2006-11,0.168,
2006-12,0.156,
2007-01,0.151,
2007-02,0.151,
2007-03,0.151,
2007-04,0.151,
2007-05,0.151,
2007-06,0.147,
2007-07,0.147,
2007-08,0.147,
2007-09,0.147,
2007-10,0.147,
2007-11,0.147,
2007-12,0.141,
2008-01,0.140,
2008-02,0.965,
2008-03,0.964,
2008-04,0.964,
2008-05,0.964,
2008-06,0.960,
2008-07,0.993,
2008-08,0.995,
2008-09,0.998,
2008-10,0.998,
2008-11,1.015,
2008-12,1.028,
2009-01,1.033,
2009-02,1.030,
2009-03,0.213,
2009-04,0.213,
2009-05,0.660,
2009-06,0.657,
2009-07,0.657,
2009-08,0.720,
2009-09,0.723,
2009-10,0.720,
2009-11,0.724,
2009-12,1.068,
2010-01,1.005,
2010-02,1.009,
2010-03,1.005,
2010-04,1.006,
2010-05,0.972,
2010-06,1.094,
2010-07,1.032,
2010-08,1.034,
2010-09,1.025,
2010-10,1.023,
2010-11,1.046,
2010-12,1.051,
2011-01,1.037,
2011-02,1.035,
2011-03,1.027,
2011-04,0.670,
2011-05,0.672,
2011-06,0.671,
2011-07,0.667,
2011-08,0.667,
2011-09,0.663,
2011-10,0.525,
2011-11,0.526,
2011-12,0.533,
2012-01,0.526,
2012-02,0.521,
2012-03,0.524,
2012-04,0.526,
2012-05,0.518,
2012-06,0.520,
2012-07,0.490,
2012-08,0.489,
2012-09,0.529,
2012-10,0.525,
2012-11,0.569,
2012-12,0.553,
2013-01,0.509,
2013-02,0.502,
2013-03,0.473,
2013-04,0.569,
2013-05,0.566,
2013-06,0.643,
2013-07,0.632,
2013-08,0.624,
2013-09,0.601,
2013-10,0.596,
2013-11,0.592,
2013-12,0.593,
2014-01,0.587,
2014-02,0.604,
2014-03,0.623,
2014-04,0.620,
2014-05,0.621,
2014-06,0.621,
2014-07,0.612,
2014-08,0.614,
2014-09,0.661,
2014-10,0.657,
2014-11,0.651,
2014-12,0.653,
