"",BBFI1.Q.N.DE.W1.S1.S1.K7B.L.FA.D3.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.K7B.L.FA.D3.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment between fellow enterprises - Debt instruments (FDI) - Liabilities - Revaluations due to price changes other than exchange rate changes - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:00:44,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
