"",BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:38,
1991-01,17.202,
1991-04,-33.327,
1991-07,67.996,
1991-10,-48.844,
1992-01,68.801,
1992-04,-186.553,
1992-07,85.773,
1992-10,78.948,
1993-01,-41.414,
1993-04,-42.410,
1993-07,-85.217,
1993-10,-147.736,
1994-01,-110.425,
1994-04,-24.708,
1994-07,-454.824,
1994-10,236.381,
1995-01,-61.697,
1995-04,-199.136,
1995-07,-222.365,
1995-10,-256.484,
1996-01,147.968,
1996-04,-79.212,
1996-07,184.549,
1996-10,58.075,
1997-01,276.566,
1997-04,53.750,
1997-07,-33.563,
1997-10,263.862,
1998-01,18.443,
1998-04,16.580,
1998-07,81.272,
1998-10,1596.611,
1999-01,-220.184,
1999-04,217.698,
1999-07,-130.634,
1999-10,-58.249,
2000-01,2212.639,
2000-04,1150.246,
2000-07,-192.952,
2000-10,752.644,
2001-01,56.896,
2001-04,536.582,
2001-07,443.317,
2001-10,755.039,
2002-01,451.097,
2002-04,375.107,
2002-07,1156.537,
2002-10,-873.830,
2003-01,355.947,
2003-04,93.135,
2003-07,88.718,
2003-10,360.227,
2004-01,490.313,
2004-04,-83.442,
2004-07,894.697,
2004-10,656.494,
2005-01,338.215,
2005-04,689.825,
2005-07,424.902,
2005-10,344.312,
2006-01,551.892,
2006-04,101.325,
2006-07,690.577,
2006-10,-95.895,
2007-01,1221.252,
2007-04,-40.137,
2007-07,-148.767,
2007-10,318.345,
2008-01,-925.039,
2008-04,2419.420,
2008-07,-462.293,
2008-10,-1840.056,
2009-01,198.149,
2009-04,-314.158,
2009-07,590.054,
2009-10,68.956,
2010-01,137.149,
2010-04,280.033,
2010-07,652.822,
2010-10,607.976,
2011-01,-13.678,
2011-04,-649.003,
2011-07,360.308,
2011-10,-149.685,
2012-01,561.101,
2012-04,-621.407,
2012-07,377.369,
2012-10,-513.893,
2013-01,1146.458,
2013-04,124.552,
2013-07,-197.321,
2013-10,222.331,
2014-01,121.453,Provisional value
2014-04,-337.479,Provisional value
2014-07,165.646,Provisional value
2014-10,607.614,Provisional value
