"",BBK01.BQM309,BBK01.BQM309_FLAGS
"",Local government debt - of which loans - of which long-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:40,
2000-01,103279,
2000-04,102823,
2000-07,103009,
2000-10,98464,
2001-01,97961,
2001-04,97665,
2001-07,97599,
2001-10,97060,
2002-01,97165,
2002-04,96438,
2002-07,96550,
2002-10,97010,
2003-01,95788,
2003-04,97181,
2003-07,98066,
2003-10,99256,
2004-01,98985,
2004-04,98848,
2004-07,98762,
2004-10,99911,
2005-01,98842,
2005-04,98882,
2005-07,98391,
2005-10,99736,
2006-01,98981,
2006-04,98934,
2006-07,97785,
2006-10,98284,
2007-01,96493,
2007-04,96032,
2007-07,95422,
2007-10,95162,
2008-01,93775,
2008-04,93741,
2008-07,92744,
2008-10,93452,
2009-01,92767,
2009-04,92994,
2009-07,92903,
2009-10,94904,
2010-01,93635,Provisional value
2010-04,93755,Provisional value
2010-07,94500,Provisional value
2010-10,93703,Provisional value
2011-01,95399,Provisional value
2011-04,95613,Provisional value
2011-07,95262,Provisional value
2011-10,94837,Provisional value
2012-01,95432,Provisional value
2012-04,94564,Provisional value
2012-07,94876,Provisional value
2012-10,95784,Provisional value
2013-01,95646,Provisional value
2013-04,96485,Provisional value
2013-07,96743,Provisional value
2013-10,97560,Provisional value
2014-01,95776,Provisional value
2014-04,96320,Provisional value
2014-07,95725,Provisional value
