"",BBK01.CEHR0X,BBK01.CEHR0X_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:54,
1991-01,0.0,
1991-04,0.0,
1991-07,0.1,
1991-10,0.0,
1992-01,-0.1,
1992-04,0.0,
1992-07,0.0,
1992-10,0.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,0.0,
1994-01,0.0,
1994-04,-0.1,
1994-07,0.0,
1994-10,0.0,
1995-01,0.0,
1995-04,0.0,
1995-07,0.0,
1995-10,0.0,
1996-01,0.0,
1996-04,0.0,
1996-07,0.1,
1996-10,0.0,
1997-01,0.0,
1997-04,0.0,
1997-07,0.0,
1997-10,0.0,
1998-01,0.0,
1998-04,0.0,
1998-07,0.0,
1998-10,0.3,
1999-01,-1.6,
1999-04,0.1,
1999-07,0.1,
1999-10,-0.1,
2000-01,0.1,
2000-04,0.1,
2000-07,1.1,
2000-10,0.0,
2001-01,0.0,
2001-04,0.1,
2001-07,0.0,
2001-10,0.7,
2002-01,0.0,
2002-04,0.2,
2002-07,0.2,
2002-10,0.5,
2003-01,0.6,
2003-04,0.0,
2003-07,0.4,
2003-10,0.2,
2004-01,-0.1,
2004-04,-0.1,
2004-07,0.6,
2004-10,-0.4,
2005-01,0.2,
2005-04,-0.1,
2005-07,0.4,
2005-10,-0.3,
2006-01,4.4,
2006-04,0.1,
2006-07,2.9,
2006-10,6.8,
2007-01,4.0,
2007-04,6.7,
2007-07,6.9,
2007-10,11.1,
2008-01,3.8,
2008-04,1.1,
2008-07,5.9,
2008-10,26.9,
2009-01,2.7,
2009-04,6.4,
2009-07,6.7,
2009-10,0.3,
2010-01,3.3,
2010-04,3.1,
2010-07,8.0,
2010-10,4.7,
2011-01,-10.8,
2011-04,-6.3,
2011-07,-4.4,
2011-10,-25.1,
2012-01,-5.0,
2012-04,-6.9,
2012-07,-3.8,
2012-10,-6.2,
2013-01,-2.4,
2013-04,-1.9,
2013-07,-0.3,
2013-10,-0.9,
2014-01,-0.6,
