"",BBK01.OEAE14L,BBK01.OEAE14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:09,
2002-01,0.364,
2002-04,0.340,
2002-07,0.333,
2002-10,0.317,
2003-01,0.327,
2003-04,0.336,
2003-07,0.327,
2003-10,0.293,
2004-01,0.299,
2004-04,0.255,
2004-07,0.259,
2004-10,0.254,
2005-01,0.260,
2005-04,0.257,
2005-07,0.251,
2005-10,0.226,
2006-01,0.218,
2006-04,0.204,
2006-07,0.208,
2006-10,0.192,
2007-01,0.193,
2007-04,0.173,
2007-07,0.171,
2007-10,0.173,
2008-01,0.173,
2008-04,0.166,
2008-07,0.169,
2008-10,0.162,
2009-01,0.172,
2009-04,0.156,
2009-07,0.149,
2009-10,0.146,
2010-01,0.183,
2010-04,0.165,
2010-07,0.179,
2010-10,0.172,
2011-01,0.188,
2011-04,0.170,
2011-07,0.160,
2011-10,0.149,
2012-01,0.169,
2012-04,0.158,
2012-07,0.161,
2012-10,0.156,
2013-01,0.164,
2013-04,0.148,
2013-07,0.151,
2013-10,0.135,
2014-01,0.149,
2014-04,0.236,
2014-07,0.113,
