"",BBK01.OEAH11O,BBK01.OEAH11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:51,
2002-01,4.809,
2002-04,3.971,
2002-07,3.551,
2002-10,1.199,
2003-01,-0.202,
2003-04,-0.725,
2003-07,-1.505,
2003-10,-3.226,
2004-01,-4.474,
2004-04,-5.080,
2004-07,-5.307,
2004-10,-5.639,
2005-01,31.787,
2005-04,31.478,
2005-07,31.113,
2005-10,31.397,
2006-01,31.065,
2006-04,30.727,
2006-07,30.166,
2006-10,29.950,
2007-01,29.013,
2007-04,28.156,
2007-07,27.297,
2007-10,26.681,
2008-01,25.921,
2008-04,25.183,
2008-07,24.078,
2008-10,24.082,
2009-01,24.614,
2009-04,25.788,
2009-07,26.995,
2009-10,28.175,
2010-01,28.953,
2010-04,29.156,
2010-07,29.343,
2010-10,29.776,
2011-01,29.875,
2011-04,29.721,
2011-07,29.447,
2011-10,29.527,
2012-01,29.502,
2012-04,29.181,
2012-07,28.906,
2012-10,28.835,
2013-01,28.522,
2013-04,28.266,
2013-07,28.046,
2013-10,28.215,
2014-01,28.138,
2014-04,27.899,
2014-07,27.831,
