"",BBK01.OEXL06P,BBK01.OEXL06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:22,
2002-01,0.015,
2002-04,0.014,
2002-07,0.015,
2002-10,0.015,
2003-01,0.014,
2003-04,0.015,
2003-07,0.015,
2003-10,0.016,
2004-01,0.021,
2004-04,0.021,
2004-07,0.020,
2004-10,0.018,
2005-01,0.026,
2005-04,0.025,
2005-07,0.027,
2005-10,0.030,
2006-01,0.032,
2006-04,0.036,
2006-07,0.045,
2006-10,0.048,
2007-01,0.051,
2007-04,0.052,
2007-07,0.051,
2007-10,0.060,
2008-01,0.072,
2008-04,0.083,
2008-07,0.089,
2008-10,0.102,
2009-01,0.121,
2009-04,0.104,
2009-07,0.091,
2009-10,0.082,
2010-01,0.081,
2010-04,0.104,
2010-07,0.116,
2010-10,0.121,
2011-01,0.128,
2011-04,0.144,
2011-07,0.159,
2011-10,0.167,
2012-01,0.161,
2012-04,0.163,
2012-07,0.161,
2012-10,0.152,
2013-01,0.129,
2013-04,0.100,
2013-07,0.094,
2013-10,0.092,
2014-01,0.088,
2014-04,0.081,
2014-07,0.069,
