"",BBK01.OECB24P,BBK01.OECB24P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:21,
2002-01,0.011,
2002-04,0.011,
2002-07,0.011,
2002-10,0.011,
2003-01,0.011,
2003-04,0.011,
2003-07,0.011,
2003-10,0.011,
2004-01,0.011,
2004-04,0.011,
2004-07,0.011,
2004-10,0.013,
2005-01,0.082,
2005-04,0.092,
2005-07,0.097,
2005-10,0.086,
2006-01,0.062,
2006-04,0.067,
2006-07,0.073,
2006-10,0.104,
2007-01,0.134,
2007-04,0.133,
2007-07,0.132,
2007-10,0.122,
2008-01,0.122,
2008-04,0.120,
2008-07,0.104,
2008-10,0.109,
2009-01,0.122,
2009-04,0.122,
2009-07,0.126,
2009-10,0.104,
2010-01,0.103,
2010-04,0.121,
2010-07,0.120,
2010-10,0.182,
2011-01,0.166,
2011-04,0.149,
2011-07,0.147,
2011-10,0.146,
2012-01,0.132,
2012-04,0.150,
2012-07,0.147,
2012-10,0.146,
2013-01,0.151,
2013-04,0.140,
2013-07,0.144,
2013-10,0.171,
2014-01,0.180,
2014-04,0.178,
2014-07,0.183,
