"",BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:07,
1991-01,-5.953,
1991-04,-5.953,
1991-07,-5.953,
1991-10,-6.648,
1992-01,-3.465,
1992-04,-3.465,
1992-07,-3.465,
1992-10,-3.465,
1993-01,4.635,
1993-04,4.635,
1993-07,4.635,
1993-10,4.635,
1994-01,-0.523,
1994-04,-0.523,
1994-07,-0.523,
1994-10,-0.523,
1995-01,0.063,
1995-04,0.063,
1995-07,0.063,
1995-10,0.063,
1996-01,-4.557,
1996-04,-4.557,
1996-07,-4.557,
1996-10,-4.557,
1997-01,-25.565,
1997-04,-25.565,
1997-07,-25.565,
1997-10,-25.565,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-36.000,
1999-04,-35.000,
1999-07,-35.000,
1999-10,-36.000,
2000-01,9.000,
2000-04,9.000,
2000-07,9.000,
2000-10,8.000,
2001-01,-70.155,
2001-04,-90.206,
2001-07,-88.206,
2001-10,-79.155,
2002-01,-31.659,
2002-04,-38.013,
2002-07,-41.119,
2002-10,-47.429,
2003-01,-27.508,
2003-04,-19.778,
2003-07,-21.460,
2003-10,-24.762,
2004-01,26.028,
2004-04,-8.331,
2004-07,27.463,
2004-10,28.557,
2005-01,-13.141,
2005-04,-17.099,
2005-07,-3.315,
2005-10,-5.444,
2006-01,-0.839,
2006-04,-0.903,
2006-07,-3.033,
2006-10,-1.226,
2007-01,6.396,
2007-04,-11.160,
2007-07,4.726,
2007-10,3.059,
2008-01,-1.801,
2008-04,0.001,
2008-07,1.769,
2008-10,0.497,
2009-01,1.296,
2009-04,10.900,
2009-07,30.032,
2009-10,58.734,
2010-01,20.762,
2010-04,26.242,
2010-07,25.990,
2010-10,29.011,
2011-01,20.924,
2011-04,20.440,
2011-07,15.001,
2011-10,24.589,
2012-01,26.312,
2012-04,28.788,
2012-07,29.048,
2012-10,28.102,
2013-01,60.788,
2013-04,56.649,
2013-07,47.767,
2013-10,28.354,
2014-01,56.515,Provisional value
2014-04,57.389,Provisional value
2014-07,57.959,Provisional value
2014-10,38.075,Provisional value
