"",BBEX3.M.ERN.USD.CA.AC.A01,BBEX3.M.ERN.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Eritrea / USD 1 = ERN ... (middle),
unit,ERN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:16,
1997-11,7.12500,
1997-12,7.12500,
1998-01,7.12500,
1998-02,7.12500,
1998-03,7.12500,
1998-04,7.12500,
1998-05,7.36000,
1998-06,7.38665,
1998-07,7.50000,
1998-08,7.50170,
1998-09,7.51830,
1998-10,7.53140,
1998-11,7.59565,
1998-12,7.61720,
1999-01,7.64220,
1999-02,7.67730,
1999-03,7.73865,
1999-04,8.20000,
1999-05,8.20000,
1999-06,8.20000,
1999-07,8.20000,
1999-08,8.20000,
1999-09,8.20000,
1999-10,8.20000,
1999-11,9.70000,comment
1999-12,9.70000,
2000-01,9.70000,
2000-02,9.70000,
2000-03,9.70000,
2000-04,9.70000,
2000-05,9.70000,
2000-06,9.70000,
2000-07,9.70000,
2000-08,9.70000,
2000-09,9.70000,
2000-10,9.70000,
2000-11,9.70000,
2000-12,10.25000,
2001-01,10.25000,
2001-02,10.25000,
2001-03,10.25000,
2001-04,10.25000,
2001-05,10.25000,
2001-06,10.25000,
2001-07,10.25000,
2001-08,10.25000,
2001-09,13.79285,comment
2001-10,13.81500,
2001-11,13.81750,
2001-12,13.82250,
2002-01,13.83270,
2002-02,13.85195,
2002-03,13.85000,
2002-04,13.87115,
2002-05,13.93655,
2002-06,14.04310,
2002-07,14.12695,
2002-08,13.97710,
2002-09,13.97710,
2002-10,14.08080,
2002-11,14.14375,
2002-12,14.15625,
2003-01,14.33390,
2003-02,14.33390,
2003-03,13.81250,
2003-04,13.81250,
2003-05,13.81250,
2003-06,13.81250,
2003-07,13.81250,
2003-08,13.81250,
2003-09,13.81250,
2003-10,13.81250,
2003-11,13.81250,
2003-12,13.81250,
2004-01,13.81250,
2004-02,13.81250,
2004-03,13.81250,
2004-04,13.81250,
2004-05,13.81250,
2004-06,13.81250,
2004-07,13.81250,
2004-08,13.81250,
2004-09,13.81250,
2004-10,13.81250,
2004-11,13.81250,
2004-12,13.81250,
2005-01,15.37500,
2005-02,15.37500,
2005-03,15.37500,
2005-04,15.37500,
2005-05,15.37500,
2005-06,15.37500,
2005-07,15.37500,
2005-08,15.37500,
2005-09,15.37500,
2005-10,15.37500,
2005-11,15.37500,
2005-12,15.37500,
2006-01,15.37500,
2006-02,15.37500,
2006-03,15.37500,
2006-04,15.37500,
2006-05,15.37500,
2006-06,15.37500,
2006-07,15.37500,
2006-08,15.37500,
2006-09,15.37500,
2006-10,15.37500,
2006-11,15.37500,
2006-12,15.37500,
2007-01,15.37500,
2007-02,15.37500,
2007-03,15.37500,
2007-04,15.37500,
2007-05,15.37500,
2007-06,15.37500,
2007-07,15.37500,
2007-08,15.37500,
2007-09,15.37500,
2007-10,15.37500,
2007-11,15.37500,
2007-12,15.37500,
2008-01,15.37500,
2008-02,15.37500,
2008-03,15.37500,
2008-04,15.37500,
2008-05,15.37500,
2008-06,15.37500,
2008-07,15.37500,
2008-08,15.37500,
2008-09,15.37500,
2008-10,15.37500,
2008-11,15.37500,
2008-12,15.37500,
2009-01,15.37500,
2009-02,15.37500,
2009-03,15.37500,
2009-04,15.37500,
2009-05,15.37500,
2009-06,15.37500,
2009-07,15.37500,
2009-08,15.37500,
2009-09,15.37500,
2009-10,15.37500,
2009-11,15.37500,
2009-12,15.37500,
2010-01,15.37500,
2010-02,15.37500,
2010-03,15.37500,
2010-04,15.37500,
2010-05,15.37500,
2010-06,15.37500,
2010-07,15.37500,
2010-08,15.37500,
2010-09,15.37500,
2010-10,15.37500,
2010-11,15.37500,
2010-12,15.37500,
2011-01,15.37500,
2011-02,15.37500,
2011-03,15.37500,
2011-04,15.37500,
2011-05,15.37500,
2011-06,15.37500,
2011-07,15.37500,
2011-08,15.37500,
2011-09,15.37500,
2011-10,15.37500,
2011-11,15.37500,
2011-12,15.37500,
2012-01,15.37500,
2012-02,15.37500,
2012-03,15.37500,
2012-04,15.37500,
2012-05,15.37500,
2012-06,15.37500,
2012-07,15.37500,
2012-08,15.37500,
2012-09,.,No value available
2012-10,15.37500,
2012-11,15.37500,
2012-12,15.37500,
2013-01,15.37500,
2013-02,15.37500,
2013-03,15.37500,
2013-04,15.37500,
2013-05,15.37500,
2013-06,15.37500,
2013-07,15.37500,
2013-08,15.37500,
2013-09,15.37500,
2013-10,15.37500,
2013-11,15.37500,
2013-12,15.37500,
2014-01,15.37500,
2014-02,15.37500,
2014-03,15.37500,
2014-04,15.37500,
2014-05,15.37500,
2014-06,15.37500,
2014-07,15.37500,
2014-08,15.37500,
2014-09,15.37500,
2014-10,15.37500,
2014-11,15.37500,
2014-12,15.37500,
2015-01,15.37500,
2015-02,15.37500,
"","General: With effect from 8 November 1997, Eritrea ended its currency union with Ethiopia and adopted the nakfa as its own currency. The changeover from birr to nakfa took place between 8 and 28 November 1997 at the rate of 1:1. During this period the exchange rate to the US dollar was USD 1 = ERN 7.20. The exchange rates for November 1997 to March 1999 were calculated on the basis of the buying and selling rates reported to us. From April 1999, only mid-market rates were reported. From December 2000, the exchange rates were once more calculated on the basis of buying and selling rates.",
"","Source: Bank of Eritrea, Asmara.",
"","Comment on 1999-11: On 15 November 1999, the nakfa was devalued by 15.5%.",
"","Comment on 2001-09: On 10 September 2001, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  7 September 2001: USD 1 = ERN 10.20 / 10.30  10 September 2001: USD 1 = ERN 13,55 / 13,80.  Calculated devaluation: 25.0% (middle rate).",
