"",BBFB1.Q.N.DE.DK.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:17,
1991-01,30.822,
1991-04,16.304,
1991-07,-155.126,
1991-10,7.950,
1992-01,-36.014,
1992-04,-74.153,
1992-07,-272.433,
1992-10,-65.657,
1993-01,-49.820,
1993-04,-128.085,
1993-07,-379.262,
1993-10,-128.415,
1994-01,-41.626,
1994-04,-135.409,
1994-07,-359.490,
1994-10,-106.935,
1995-01,-68.436,
1995-04,-150.246,
1995-07,-395.982,
1995-10,-114.108,
1996-01,-74.251,
1996-04,-169.230,
1996-07,-387.357,
1996-10,-113.548,
1997-01,-74.035,
1997-04,-139.886,
1997-07,-365.345,
1997-10,-83.431,
1998-01,-43.209,
1998-04,-97.163,
1998-07,-305.104,
1998-10,-89.149,
1999-01,-110.295,
1999-04,-123.930,
1999-07,-318.266,
1999-10,-91.992,
2000-01,-98.052,
2000-04,-88.687,
2000-07,-274.491,
2000-10,-99.701,
2001-01,-4.261,
2001-04,18.284,
2001-07,-230.189,
2001-10,-35.711,
2002-01,1.027,
2002-04,42.542,
2002-07,-163.505,
2002-10,53.139,
2003-01,52.784,
2003-04,23.503,
2003-07,-270.365,
2003-10,-3.280,
2004-01,86.655,
2004-04,131.607,
2004-07,-55.399,
2004-10,104.622,
2005-01,270.038,
2005-04,304.849,
2005-07,78.013,
2005-10,320.027,
2006-01,287.791,
2006-04,495.794,
2006-07,319.485,
2006-10,476.249,
2007-01,442.741,
2007-04,431.266,
2007-07,322.552,
2007-10,267.051,
2008-01,366.083,
2008-04,413.633,
2008-07,222.754,
2008-10,144.884,
2009-01,426.364,
2009-04,377.655,
2009-07,116.307,
2009-10,435.964,
2010-01,400.819,
2010-04,291.550,
2010-07,114.874,
2010-10,433.106,
2011-01,246.176,
2011-04,250.718,
2011-07,118.850,
2011-10,417.433,
2012-01,365.945,
2012-04,231.350,
2012-07,-45.583,
2012-10,243.240,
2013-01,262.385,
2013-04,217.854,
2013-07,-73.137,
2013-10,428.854,
2014-01,206.796,Provisional value
2014-04,124.860,Provisional value
2014-07,-183.905,Provisional value
