"",BBSF2.M.1.T.00000.AKT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.AKT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Equity funds / Long-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:19,
2009-09,5323,
2009-10,5334,
2009-11,5133,
2009-12,4941,
2010-01,4427,
2010-02,4458,
2010-03,4328,
2010-04,4409,
2010-05,4548,
2010-06,4525,
2010-07,4409,
2010-08,4377,
2010-09,4206,
2010-10,4189,
2010-11,4137,
2010-12,4342,
2011-01,4091,
2011-02,3898,
2011-03,3628,
2011-04,3517,
2011-05,3526,
2011-06,3349,
2011-07,3287,
2011-08,3149,
2011-09,3292,
2011-10,3097,
2011-11,3484,
2011-12,3499,
2012-01,3389,
2012-02,3278,
2012-03,3220,
2012-04,3276,
2012-05,3350,
2012-06,3240,
2012-07,3254,
2012-08,3315,
2012-09,3281,
2012-10,3295,
2012-11,3330,
2012-12,3417,
2013-01,3354,
2013-02,3437,
2013-03,3388,
2013-04,3288,
2013-05,3247,
2013-06,3311,
2013-07,3222,
2013-08,3268,
2013-09,3164,
2013-10,2972,
2013-11,2900,
2013-12,2852,
2014-01,2933,
2014-02,2918,
2014-03,3024,
2014-04,3190,
2014-05,3172,
2014-06,3147,
2014-07,3327,
2014-08,3424,
2014-09,3492,
2014-10,2354,
2014-11,2298,
