"",BBK01.OEAH43M,BBK01.OEAH43M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:53,
2002-01,7.775,
2002-04,7.686,
2002-07,7.745,
2002-10,7.972,
2003-01,7.685,
2003-04,7.816,
2003-07,7.673,
2003-10,7.863,
2004-01,7.694,
2004-04,7.633,
2004-07,7.691,
2004-10,8.163,
2005-01,8.234,
2005-04,8.361,
2005-07,8.412,
2005-10,9.005,
2006-01,8.820,
2006-04,8.775,
2006-07,8.956,
2006-10,9.678,
2007-01,9.434,
2007-04,9.572,
2007-07,9.792,
2007-10,10.832,
2008-01,10.517,
2008-04,10.496,
2008-07,10.741,
2008-10,11.782,
2009-01,11.420,
2009-04,11.380,
2009-07,11.363,
2009-10,11.697,
2010-01,11.571,
2010-04,11.497,
2010-07,11.756,
2010-10,12.313,
2011-01,11.898,
2011-04,11.851,
2011-07,12.334,
2011-10,13.087,
2012-01,12.911,
2012-04,12.801,
2012-07,13.249,
2012-10,13.619,
2013-01,13.195,
2013-04,13.093,
2013-07,13.473,
2013-10,14.145,
2014-01,13.894,
2014-04,13.682,
2014-07,14.218,
