"",BBK01.OEXJ02Q,BBK01.OEXJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:32,
2002-01,0.405,
2002-04,0.381,
2002-07,0.376,
2002-10,0.387,
2003-01,0.373,
2003-04,0.406,
2003-07,0.434,
2003-10,0.442,
2004-01,0.370,
2004-04,0.370,
2004-07,0.356,
2004-10,0.149,
2005-01,0.115,
2005-04,0.114,
2005-07,0.134,
2005-10,0.140,
2006-01,0.123,
2006-04,0.172,
2006-07,0.134,
2006-10,0.142,
2007-01,0.159,
2007-04,0.177,
2007-07,0.170,
2007-10,0.170,
2008-01,0.167,
2008-04,0.174,
2008-07,0.169,
2008-10,0.199,
2009-01,0.181,
2009-04,0.182,
2009-07,0.199,
2009-10,0.227,
2010-01,0.244,
2010-04,0.228,
2010-07,0.235,
2010-10,0.238,
2011-01,0.236,
2011-04,0.269,
2011-07,0.285,
2011-10,0.313,
2012-01,0.305,
2012-04,0.316,
2012-07,0.388,
2012-10,0.405,
2013-01,0.338,
2013-04,0.388,
2013-07,0.386,
2013-10,0.396,
2014-01,0.411,
2014-04,0.393,
2014-07,0.414,
