"",BBK01.OELI01T,BBK01.OELI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:31,
2002-01,4.016,
2002-04,3.985,
2002-07,4.121,
2002-10,4.278,
2003-01,4.232,
2003-04,4.184,
2003-07,4.208,
2003-10,4.413,
2004-01,4.401,
2004-04,4.221,
2004-07,4.369,
2004-10,4.613,
2005-01,4.490,
2005-04,4.443,
2005-07,4.458,
2005-10,4.669,
2006-01,4.565,
2006-04,4.509,
2006-07,4.549,
2006-10,4.692,
2007-01,4.612,
2007-04,4.623,
2007-07,4.685,
2007-10,4.859,
2008-01,4.754,
2008-04,4.681,
2008-07,4.746,
2008-10,5.028,
2009-01,5.209,
2009-04,4.879,
2009-07,4.971,
2009-10,5.156,
2010-01,5.062,
2010-04,5.041,
2010-07,5.130,
2010-10,5.294,
2011-01,5.182,
2011-04,5.109,
2011-07,5.182,
2011-10,5.402,
2012-01,5.198,
2012-04,5.170,
2012-07,5.294,
2012-10,5.520,
2013-01,5.287,
2013-04,5.268,
2013-07,5.426,
2013-10,5.641,
2014-01,5.582,
2014-04,5.451,
2014-07,5.485,
