"",BBK01.OEBB02L,BBK01.OEBB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:15,
2002-01,124.411,
2002-04,110.784,
2002-07,113.423,
2002-10,102.810,
2003-01,125.974,
2003-04,126.413,
2003-07,129.018,
2003-10,127.754,
2004-01,156.162,
2004-04,140.425,
2004-07,155.215,
2004-10,148.489,
2005-01,152.170,
2005-04,155.219,
2005-07,164.159,
2005-10,147.599,
2006-01,155.461,
2006-04,159.642,
2006-07,168.002,
2006-10,141.654,
2007-01,167.484,
2007-04,181.001,
2007-07,165.179,
2007-10,148.089,
2008-01,190.047,
2008-04,162.670,
2008-07,169.673,
2008-10,131.327,
2009-01,143.408,
2009-04,146.173,
2009-07,129.996,
2009-10,110.591,
2010-01,103.523,
2010-04,115.845,
2010-07,95.838,
2010-10,102.367,
2011-01,111.529,
2011-04,117.544,
2011-07,118.275,
2011-10,101.228,
2012-01,113.902,
2012-04,109.238,
2012-07,108.710,
2012-10,106.369,
2013-01,117.226,
2013-04,125.397,
2013-07,80.162,
2013-10,82.400,
2014-01,85.548,
2014-04,90.389,
2014-07,90.073,
