"",BBK01.CE4AAA,BBK01.CE4AAA_FLAGS
"",Claims from company pension commitments debtor: All sectors                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:57,
1991-01,1.8,
1991-04,2.0,
1991-07,2.0,
1991-10,2.3,
1992-01,2.2,
1992-04,2.4,
1992-07,2.4,
1992-10,2.7,
1993-01,1.2,
1993-04,1.3,
1993-07,1.3,
1993-10,1.5,
1994-01,1.4,
1994-04,1.5,
1994-07,1.5,
1994-10,1.8,
1995-01,1.8,
1995-04,2.0,
1995-07,2.0,
1995-10,2.3,
1996-01,1.1,
1996-04,1.1,
1996-07,1.1,
1996-10,1.0,
1997-01,1.1,
1997-04,1.0,
1997-07,1.0,
1997-10,1.0,
1998-01,1.4,
1998-04,1.4,
1998-07,1.4,
1998-10,1.4,
1999-01,1.0,
1999-04,1.0,
1999-07,1.0,
1999-10,1.0,
2000-01,3.7,
2000-04,3.7,
2000-07,3.7,
2000-10,3.7,
2001-01,3.2,
2001-04,3.2,
2001-07,3.1,
2001-10,3.2,
2002-01,2.8,
2002-04,2.8,
2002-07,2.8,
2002-10,2.9,
2003-01,2.6,
2003-04,2.5,
2003-07,2.6,
2003-10,2.6,
2004-01,2.3,
2004-04,2.3,
2004-07,2.4,
2004-10,2.4,
2005-01,1.8,
2005-04,1.8,
2005-07,1.8,
2005-10,1.9,
2006-01,2.5,
2006-04,2.5,
2006-07,2.6,
2006-10,2.7,
2007-01,1.1,
2007-04,1.1,
2007-07,1.1,
2007-10,1.2,
2008-01,1.8,
2008-04,1.8,
2008-07,1.8,
2008-10,1.9,
2009-01,2.4,
2009-04,2.5,
2009-07,2.5,
2009-10,2.5,
2010-01,1.9,
2010-04,2.0,
2010-07,1.9,
2010-10,2.0,
2011-01,2.7,
2011-04,2.8,
2011-07,2.8,
2011-10,2.8,
2012-01,2.9,
2012-04,3.0,
2012-07,2.9,
2012-10,3.0,
2013-01,2.7,
2013-04,2.8,
2013-07,2.7,
2013-10,2.8,
2014-01,2.7,
