"",BBK01.OEAD13M,BBK01.OEAD13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:11,
2002-01,0.291,
2002-04,0.298,
2002-07,0.261,
2002-10,0.275,
2003-01,0.273,
2003-04,0.225,
2003-07,0.223,
2003-10,0.227,
2004-01,0.233,
2004-04,0.230,
2004-07,0.223,
2004-10,0.196,
2005-01,0.217,
2005-04,0.211,
2005-07,0.211,
2005-10,0.184,
2006-01,0.183,
2006-04,0.172,
2006-07,0.171,
2006-10,0.165,
2007-01,0.169,
2007-04,0.161,
2007-07,0.139,
2007-10,0.157,
2008-01,0.150,
2008-04,0.179,
2008-07,0.190,
2008-10,0.194,
2009-01,0.256,
2009-04,0.189,
2009-07,0.190,
2009-10,0.166,
2010-01,0.201,
2010-04,0.224,
2010-07,0.176,
2010-10,0.151,
2011-01,0.149,
2011-04,0.129,
2011-07,0.128,
2011-10,0.124,
2012-01,0.128,
2012-04,0.132,
2012-07,0.134,
2012-10,0.093,
2013-01,0.112,
2013-04,0.104,
2013-07,0.090,
2013-10,0.092,
2014-01,0.098,
2014-04,0.091,
2014-07,0.088,
