"",BBK01.OEAM01L,BBK01.OEAM01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:11,
2002-01,8.405,
2002-04,9.311,
2002-07,9.091,
2002-10,8.548,
2003-01,9.581,
2003-04,11.801,
2003-07,8.395,
2003-10,8.029,
2004-01,11.834,
2004-04,12.339,
2004-07,10.352,
2004-10,9.284,
2005-01,10.684,
2005-04,13.327,
2005-07,14.007,
2005-10,12.028,
2006-01,13.433,
2006-04,14.709,
2006-07,13.996,
2006-10,14.022,
2007-01,16.051,
2007-04,20.818,
2007-07,18.360,
2007-10,21.128,
2008-01,19.844,
2008-04,23.560,
2008-07,23.819,
2008-10,19.399,
2009-01,20.584,
2009-04,26.086,
2009-07,16.729,
2009-10,17.200,
2010-01,15.823,
2010-04,16.514,
2010-07,16.612,
2010-10,16.862,
2011-01,18.535,
2011-04,20.760,
2011-07,21.598,
2011-10,21.324,
2012-01,19.889,
2012-04,22.290,
2012-07,22.009,
2012-10,24.599,
2013-01,20.920,
2013-04,20.857,
2013-07,20.131,
2013-10,25.435,
2014-01,22.575,
2014-04,23.945,
2014-07,25.767,
