"",BBK01.OEAN04M,BBK01.OEAN04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:01,
2002-01,28.543,
2002-04,28.533,
2002-07,28.294,
2002-10,29.698,
2003-01,30.138,
2003-04,30.346,
2003-07,30.811,
2003-10,31.636,
2004-01,31.878,
2004-04,31.944,
2004-07,31.844,
2004-10,32.871,
2005-01,35.962,
2005-04,36.092,
2005-07,35.513,
2005-10,35.904,
2006-01,35.480,
2006-04,34.961,
2006-07,34.118,
2006-10,33.777,
2007-01,32.655,
2007-04,31.882,
2007-07,31.012,
2007-10,31.032,
2008-01,30.517,
2008-04,30.321,
2008-07,29.647,
2008-10,30.658,
2009-01,30.903,
2009-04,30.764,
2009-07,30.566,
2009-10,31.552,
2010-01,31.803,
2010-04,32.270,
2010-07,32.751,
2010-10,33.825,
2011-01,34.283,
2011-04,34.307,
2011-07,34.191,
2011-10,34.837,
2012-01,35.171,
2012-04,34.936,
2012-07,34.428,
2012-10,34.698,
2013-01,35.011,
2013-04,35.065,
2013-07,34.834,
2013-10,35.085,
2014-01,34.815,
2014-04,34.670,
2014-07,34.475,
