"",BBK01.OEAC01V,BBK01.OEAC01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:33,
2002-01,28.942,
2002-04,29.034,
2002-07,28.840,
2002-10,28.533,
2003-01,27.914,
2003-04,27.089,
2003-07,26.835,
2003-10,26.623,
2004-01,26.236,
2004-04,26.167,
2004-07,26.134,
2004-10,25.497,
2005-01,25.104,
2005-04,24.972,
2005-07,24.815,
2005-10,24.477,
2006-01,24.340,
2006-04,24.570,
2006-07,24.207,
2006-10,24.148,
2007-01,23.695,
2007-04,23.330,
2007-07,23.298,
2007-10,23.635,
2008-01,23.394,
2008-04,21.927,
2008-07,22.260,
2008-10,22.321,
2009-01,21.907,
2009-04,24.616,
2009-07,24.468,
2009-10,26.100,
2010-01,25.795,
2010-04,26.361,
2010-07,24.746,
2010-10,24.690,
2011-01,25.096,
2011-04,25.404,
2011-07,26.218,
2011-10,26.198,
2012-01,26.253,
2012-04,27.571,
2012-07,27.658,
2012-10,27.702,
2013-01,27.733,
2013-04,27.677,
2013-07,28.000,
2013-10,28.111,
2014-01,28.256,
2014-04,28.824,
2014-07,28.985,
