"",BBK01.OEAE11O,BBK01.OEAE11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:52,
2002-01,0.532,
2002-04,0.551,
2002-07,0.567,
2002-10,0.561,
2003-01,0.539,
2003-04,0.519,
2003-07,0.526,
2003-10,0.495,
2004-01,0.493,
2004-04,0.505,
2004-07,0.519,
2004-10,0.473,
2005-01,0.445,
2005-04,0.425,
2005-07,0.452,
2005-10,0.403,
2006-01,0.395,
2006-04,0.331,
2006-07,0.366,
2006-10,0.377,
2007-01,0.364,
2007-04,0.365,
2007-07,0.343,
2007-10,0.455,
2008-01,0.458,
2008-04,0.454,
2008-07,0.424,
2008-10,0.387,
2009-01,0.423,
2009-04,0.363,
2009-07,0.355,
2009-10,0.312,
2010-01,0.307,
2010-04,0.280,
2010-07,0.289,
2010-10,0.285,
2011-01,0.245,
2011-04,0.293,
2011-07,0.256,
2011-10,0.248,
2012-01,0.230,
2012-04,0.283,
2012-07,0.232,
2012-10,0.233,
2013-01,0.238,
2013-04,0.258,
2013-07,0.318,
2013-10,0.358,
2014-01,0.383,
2014-04,0.344,
2014-07,0.309,
