"",BBFB1.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:41,
1991-01,27393.144,
1991-02,25799.145,
1991-03,27335.328,
1991-04,26480.559,
1991-05,26403.899,
1991-06,26071.817,
1991-07,28515.661,
1991-08,25076.003,
1991-09,26143.534,
1991-10,29656.879,
1991-11,28330.613,
1991-12,27144.103,
1992-01,26436.556,
1992-02,26800.764,
1992-03,30480.246,
1992-04,29313.143,
1992-05,25356.180,
1992-06,25191.944,
1992-07,29099.176,
1992-08,23870.358,
1992-09,27319.311,
1992-10,29913.294,
1992-11,25773.685,
1992-12,26518.432,
1993-01,22281.683,
1993-02,25892.273,
1993-03,27387.992,
1993-04,25316.189,
1993-05,23999.556,
1993-06,26049.162,
1993-07,24399.115,
1993-08,22828.681,
1993-09,25370.814,
1993-10,26500.132,
1993-11,26502.227,
1993-12,27831.659,
1994-01,23816.390,
1994-02,25500.460,
1994-03,29765.719,
1994-04,26793.214,
1994-05,28487.403,
1994-06,30197.814,
1994-07,26147.218,
1994-08,26922.857,
1994-09,28343.533,
1994-10,28508.593,
1994-11,29533.605,
1994-12,30994.060,
1995-01,28066.814,
1995-02,28925.955,
1995-03,32226.390,
1995-04,28472.701,
1995-05,30820.295,
1995-06,31377.437,
1995-07,28735.863,
1995-08,27144.145,
1995-09,31268.678,
1995-10,31542.501,
1995-11,32838.484,
1995-12,30818.280,
1996-01,29996.666,
1996-02,30910.985,
1996-03,31997.968,
1996-04,31361.838,
1996-05,31334.084,
1996-06,30836.444,
1996-07,33514.702,
1996-08,28318.397,
1996-09,31162.015,
1996-10,36407.138,
1996-11,33926.063,
1996-12,31697.456,
1997-01,30782.875,
1997-02,32854.631,
1997-03,34108.768,
1997-04,35905.203,
1997-05,34001.629,
1997-06,37231.663,
1997-07,37951.984,
1997-08,32158.674,
1997-09,38257.571,
1997-10,39751.477,
1997-11,38081.475,
1997-12,38009.569,
1998-01,35335.716,
1998-02,37241.396,
1998-03,40343.365,
1998-04,40196.393,
1998-05,37253.175,
1998-06,39700.263,
1998-07,41190.954,
1998-08,33818.261,
1998-09,36782.887,
1998-10,40551.675,
1998-11,39882.354,
1998-12,36285.368,
1999-01,33141.338,
1999-02,37392.479,
