"",BBK01.OEAA45T,BBK01.OEAA45T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:34,
2002-01,3.675,
2002-04,3.663,
2002-07,3.669,
2002-10,3.759,
2003-01,3.898,
2003-04,3.913,
2003-07,3.984,
2003-10,3.804,
2004-01,4.033,
2004-04,4.076,
2004-07,4.157,
2004-10,4.095,
2005-01,4.154,
2005-04,4.160,
2005-07,4.177,
2005-10,4.186,
2006-01,4.202,
2006-04,4.209,
2006-07,4.242,
2006-10,4.140,
2007-01,4.126,
2007-04,4.021,
2007-07,4.023,
2007-10,3.956,
2008-01,3.943,
2008-04,3.890,
2008-07,4.078,
2008-10,4.134,
2009-01,4.010,
2009-04,3.992,
2009-07,3.979,
2009-10,3.790,
2010-01,3.781,
2010-04,3.795,
2010-07,3.968,
2010-10,3.971,
2011-01,4.015,
2011-04,4.072,
2011-07,4.085,
2011-10,4.029,
2012-01,4.120,
2012-04,4.117,
2012-07,4.068,
2012-10,4.007,
2013-01,4.343,
2013-04,3.715,
2013-07,3.733,
2013-10,3.645,
2014-01,3.715,
2014-04,3.775,
2014-07,3.727,
