"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.PT.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.PT.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Portugal,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:45,
2009-09,545,
2009-10,545,
2009-11,537,
2009-12,540,
2010-01,540,
2010-02,521,
2010-03,518,
2010-04,518,
2010-05,521,
2010-06,518,
2010-07,516,
2010-08,512,
2010-09,512,
2010-10,512,
2010-11,507,
2010-12,507,
2011-01,507,
2011-02,506,
2011-03,506,
2011-04,506,
2011-05,506,
2011-06,502,
2011-07,493,
2011-08,489,
2011-09,488,
2011-10,488,
2011-11,479,
2011-12,479,
2012-01,479,
2012-02,468,
2012-03,466,
2012-04,466,
2012-05,465,
2012-06,464,
2012-07,456,
2012-08,454,
2012-09,450,
2012-10,450,
2012-11,442,
2012-12,442,
2013-01,442,
2013-02,435,
2013-03,432,
2013-04,432,
2013-05,431,
2013-06,426,
2013-07,418,
2013-08,410,
2013-09,408,
2013-10,408,
2013-11,404,
2013-12,404,
2014-01,403,
2014-02,398,
2014-03,398,
2014-04,398,
2014-05,396,
2014-06,390,
2014-07,388,
2014-08,385,
2014-09,387,
2014-10,349,
2014-11,348,
