"",BBSF2.M.1.T.00000.GEF01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Borrowers' note loans,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:06,
2009-09,235,
2009-10,235,
2009-11,378,
2009-12,334,
2010-01,437,
2010-02,455,
2010-03,456,
2010-04,477,
2010-05,471,
2010-06,471,
2010-07,477,
2010-08,516,
2010-09,513,
2010-10,569,
2010-11,693,
2010-12,586,
2011-01,586,
2011-02,586,
2011-03,581,
2011-04,638,
2011-05,586,
2011-06,592,
2011-07,599,
2011-08,691,
2011-09,602,
2011-10,657,
2011-11,648,
2011-12,695,
2012-01,586,
2012-02,580,
2012-03,563,
2012-04,556,
2012-05,566,
2012-06,650,
2012-07,625,
2012-08,749,
2012-09,754,
2012-10,733,
2012-11,731,
2012-12,837,
2013-01,760,
2013-02,823,
2013-03,747,
2013-04,758,
2013-05,738,
2013-06,735,
2013-07,725,
2013-08,715,
2013-09,650,
2013-10,642,
2013-11,634,
2013-12,627,
2014-01,674,
2014-02,660,
2014-03,640,
2014-04,639,
2014-05,649,
2014-06,657,
2014-07,662,
2014-08,638,
2014-09,616,
2014-10,672,
2014-11,691,
