"",BBK01.OEBL04N,BBK01.OEBL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:22,
2002-01,11.423,
2002-04,10.940,
2002-07,10.698,
2002-10,10.346,
2003-01,9.796,
2003-04,9.172,
2003-07,8.433,
2003-10,8.095,
2004-01,7.525,
2004-04,6.662,
2004-07,6.512,
2004-10,4.076,
2005-01,4.464,
2005-04,4.456,
2005-07,4.384,
2005-10,4.788,
2006-01,4.875,
2006-04,4.973,
2006-07,5.540,
2006-10,6.335,
2007-01,6.698,
2007-04,7.134,
2007-07,8.396,
2007-10,9.938,
2008-01,10.719,
2008-04,11.709,
2008-07,13.728,
2008-10,14.664,
2009-01,12.096,
2009-04,10.425,
2009-07,7.661,
2009-10,5.879,
2010-01,5.028,
2010-04,4.791,
2010-07,3.930,
2010-10,3.782,
2011-01,4.138,
2011-04,4.549,
2011-07,4.297,
2011-10,4.736,
2012-01,5.191,
2012-04,5.084,
2012-07,4.731,
2012-10,3.785,
2013-01,3.490,
2013-04,3.506,
2013-07,3.560,
2013-10,3.929,
2014-01,4.337,
2014-04,4.727,
2014-07,4.660,
