"",BBK01.OEXL01P,BBK01.OEXL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:50,
2002-01,0.611,
2002-04,0.584,
2002-07,0.580,
2002-10,0.577,
2003-01,0.576,
2003-04,0.573,
2003-07,0.575,
2003-10,0.593,
2004-01,0.605,
2004-04,0.613,
2004-07,0.591,
2004-10,0.620,
2005-01,0.640,
2005-04,0.652,
2005-07,0.673,
2005-10,0.718,
2006-01,0.727,
2006-04,0.727,
2006-07,0.698,
2006-10,0.709,
2007-01,0.738,
2007-04,0.779,
2007-07,0.841,
2007-10,0.876,
2008-01,0.910,
2008-04,0.930,
2008-07,0.974,
2008-10,1.064,
2009-01,1.077,
2009-04,1.076,
2009-07,1.065,
2009-10,1.038,
2010-01,1.028,
2010-04,1.052,
2010-07,1.052,
2010-10,1.113,
2011-01,1.108,
2011-04,1.117,
2011-07,1.137,
2011-10,1.199,
2012-01,1.244,
2012-04,1.236,
2012-07,1.215,
2012-10,1.151,
2013-01,1.084,
2013-04,1.048,
2013-07,1.025,
2013-10,1.010,
2014-01,0.966,
2014-04,0.948,
2014-07,0.959,
