"",BBK01.OEAJ06T,BBK01.OEAJ06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:34,
2002-01,0.329,
2002-04,0.339,
2002-07,0.347,
2002-10,0.343,
2003-01,0.351,
2003-04,0.348,
2003-07,0.321,
2003-10,0.319,
2004-01,0.319,
2004-04,0.329,
2004-07,0.329,
2004-10,0.332,
2005-01,0.326,
2005-04,0.355,
2005-07,0.350,
2005-10,0.341,
2006-01,0.343,
2006-04,0.341,
2006-07,0.343,
2006-10,0.343,
2007-01,0.340,
2007-04,0.344,
2007-07,0.316,
2007-10,0.317,
2008-01,0.290,
2008-04,0.291,
2008-07,0.287,
2008-10,0.290,
2009-01,0.277,
2009-04,0.254,
2009-07,0.255,
2009-10,0.237,
2010-01,0.228,
2010-04,0.217,
2010-07,0.220,
2010-10,0.218,
2011-01,0.220,
2011-04,0.223,
2011-07,0.227,
2011-10,0.224,
2012-01,0.219,
2012-04,0.218,
2012-07,0.205,
2012-10,0.203,
2013-01,0.188,
2013-04,0.172,
2013-07,0.182,
2013-10,0.188,
2014-01,0.194,
2014-04,0.215,
2014-07,0.233,
