"",BBK01.OECB22L,BBK01.OECB22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:33,
2002-01,4.205,
2002-04,0.526,
2002-07,0.799,
2002-10,1.188,
2003-01,0.559,
2003-04,0.766,
2003-07,0.660,
2003-10,0.705,
2004-01,2.383,
2004-04,0.843,
2004-07,0.876,
2004-10,0.966,
2005-01,0.852,
2005-04,0.830,
2005-07,1.034,
2005-10,1.319,
2006-01,0.797,
2006-04,0.937,
2006-07,0.866,
2006-10,0.796,
2007-01,0.656,
2007-04,0.455,
2007-07,0.652,
2007-10,1.313,
2008-01,0.890,
2008-04,1.349,
2008-07,1.554,
2008-10,2.895,
2009-01,6.126,
2009-04,5.565,
2009-07,5.032,
2009-10,3.707,
2010-01,5.467,
2010-04,5.087,
2010-07,5.064,
2010-10,11.892,
2011-01,10.967,
2011-04,8.625,
2011-07,9.894,
2011-10,9.833,
2012-01,8.740,
2012-04,8.507,
2012-07,7.204,
2012-10,7.604,
2013-01,7.500,
2013-04,7.064,
2013-07,6.886,
2013-10,10.673,
2014-01,10.514,
2014-04,10.631,
2014-07,10.009,
