"",BBSF2.M.1.S.I1250.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:29,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,32342,
1993-05,33061,
1993-06,34004,
1993-07,35449,
1993-08,36553,
1993-09,36377,
1993-10,38392,
1993-11,38428,
1993-12,40141,
1994-01,41244,
1994-02,40654,
1994-03,40602,
1994-04,41612,
1994-05,40849,
1994-06,40083,
1994-07,41240,
1994-08,41932,
1994-09,40479,
1994-10,40591,
1994-11,40422,
1994-12,40128,
1995-01,40377,
1995-02,41265,
1995-03,40373,
1995-04,41519,
1995-05,42924,
1995-06,43194,
1995-07,44937,
1995-08,45651,
1995-09,45824,
1995-10,45693,
1995-11,46995,
1995-12,47873,
1996-01,51325,
1996-02,52466,
1996-03,53817,
1996-04,55171,
1996-05,56177,
1996-06,56815,
1996-07,56221,
1996-08,57722,
1996-09,59560,
1996-10,60553,
1996-11,63064,
1996-12,63486,
1997-01,67596,
1997-02,71375,
1997-03,73387,
1997-04,75082,
1997-05,77486,
1997-06,80502,
1997-07,88257,
1997-08,84181,
1997-09,87989,
1997-10,84390,
1997-11,87336,
1997-12,90642,
1998-01,95691,
1998-02,101418,
1998-03,107819,
1998-04,108449,
1998-05,113281,
1998-06,117182,
1998-07,119666,
1998-08,109645,
1998-09,104771,
1998-10,108393,
1998-11,116271,
1998-12,117204,
1999-01,121101,
1999-02,120689,
1999-03,123486,
1999-04,129979,
1999-05,127086,
1999-06,132228,
1999-07,129376,
1999-08,133928,
1999-09,130955,
1999-10,136288,
1999-11,144588,
1999-12,155941,
2000-01,154287,
2000-02,160812,
2000-03,163905,
2000-04,164954,
2000-05,162707,
2000-06,161400,
2000-07,163730,
2000-08,169244,
2000-09,165498,
2000-10,168419,
2000-11,160098,
2000-12,159114,
2001-01,162589,
2001-02,153299,
2001-03,150246,
2001-04,155795,
2001-05,155976,
2001-06,151569,
2001-07,148608,
2001-08,142238,
2001-09,130857,
2001-10,137282,
2001-11,142506,
2001-12,143570,
2002-01,142738,
2002-02,142005,
2002-03,147451,
2002-04,145392,
2002-05,144698,
2002-06,138718,
2002-07,133159,
2002-08,131373,
2002-09,124837,
2002-10,129168,
2002-11,132554,
2002-12,129108,
2003-01,127608,
2003-02,125274,
2003-03,126764,
2003-04,131284,
2003-05,134922,
2003-06,138053,
2003-07,138634,
2003-08,140847,
2003-09,141874,
2003-10,145199,
2003-11,144032,
2003-12,144287,
2004-01,150540,
2004-02,152352,
2004-03,151758,
2004-04,149820,
2004-05,147899,
2004-06,148911,
2004-07,144780,
2004-08,145620,
2004-09,144077,
2004-10,144776,
2004-11,145462,
2004-12,144728,
2005-01,146483,
2005-02,148518,
2005-03,147760,
2005-04,146806,
2005-05,148346,
2005-06,152118,
2005-07,152838,
2005-08,151677,
2005-09,153143,
2005-10,122814,
2005-11,122491,
2005-12,123136,
2006-01,124451,
2006-02,127392,
2006-03,127219,
2006-04,126094,
2006-05,123637,
2006-06,121850,
2006-07,122811,
2006-08,121168,
2006-09,123461,
2006-10,124603,
2006-11,122795,
2006-12,123826,
2007-01,123325,
2007-02,122493,
2007-03,122701,
2007-04,122783,
2007-05,124738,
2007-06,124148,
2007-07,122227,
2007-08,121684,
2007-09,121531,
2007-10,123165,
2007-11,121018,
2007-12,118074,
2008-01,114412,
2008-02,115169,
2008-03,113309,
2008-04,113598,
2008-05,113189,
2008-06,109658,
2008-07,110351,
2008-08,112641,
2008-09,109540,
2008-10,101885,
2008-11,99416,
2008-12,99012,
2009-01,97775,
2009-02,96511,
2009-03,96780,
2009-04,105493,
2009-05,68979,
2009-06,69707,
2009-07,67246,
2009-08,66721,
2009-09,51784,
2009-10,52904,
2009-11,53158,
2009-12,54018,
2010-01,54410,
2010-02,54498,
2010-03,56511,
2010-04,57143,
2010-05,56843,
2010-06,57089,
2010-07,58815,
2010-08,60277,
2010-09,59801,
2010-10,60325,
2010-11,59193,
2010-12,60481,
2011-01,61784,
2011-02,62077,
2011-03,62307,
2011-04,63164,
2011-05,63535,
2011-06,63075,
2011-07,63396,
2011-08,61885,
2011-09,61540,
2011-10,62401,
2011-11,64406,
2011-12,65727,
2012-01,61934,
2012-02,69477,
2012-03,70276,
2012-04,70295,
2012-05,70958,
2012-06,70674,
2012-07,72285,
2012-08,73381,
2012-09,74855,
2012-10,76185,
2012-11,77276,
2012-12,77941,
2013-01,78203,
2013-02,79322,
2013-03,81553,
2013-04,83524,
2013-05,83644,
2013-06,81707,
2013-07,83294,
2013-08,83058,
2013-09,84669,
2013-10,86124,
2013-11,86056,
2013-12,86543,
2014-01,86644,
2014-02,88628,
2014-03,89690,
2014-04,90551,
2014-05,92018,
2014-06,92487,
2014-07,95737,
2014-08,101333,
2014-09,100910,
2014-10,101598,
2014-11,102867,
